"","Municipal","Median","Average","Units","Type","Status"
"1","Barrie",705000,902077,39,"Single","Absorbed"
"2","Belleville",320000,324378,23,"Single","Absorbed"
"3","Brantford",760000,792580,55,"Single","Absorbed"
"4","Chatham-Kent",397500,424219,16,"Single","Absorbed"
"5","Cornwall",NA,581250,4,"Single","Absorbed"
"6","Greater Sudbury / Grand Sudbury",NA,594288,8,"Single","Absorbed"
"7","Guelph",845000,979756,14,"Single","Absorbed"
"8","Hamilton",740000,1149253,61,"Single","Absorbed"
"9","Kawartha Lakes",570000,586564,10,"Single","Absorbed"
"10","Kingston",655000,606989,22,"Single","Absorbed"
"11","Kitchener - Cambridge - Waterloo",8e+05,827083,97,"Single","Absorbed"
"12","London",750000,807942,253,"Single","Absorbed"
"13","Norfolk",562500,591203,10,"Single","Absorbed"
"14","North Bay",NA,NA,1,"Single","Absorbed"
"15","Oshawa",840000,836403,144,"Single","Absorbed"
"16","Ottawa",775000,751726,223,"Single","Absorbed"
"17","Peterborough",590000,581706,15,"Single","Absorbed"
"18","Sarnia",712500,697055,20,"Single","Absorbed"
"19","Sault Ste. Marie",NA,NA,3,"Single","Absorbed"
"20","St. Catharines - Niagara",740000,783749,107,"Single","Absorbed"
"21","Thunder Bay",NA,NA,2,"Single","Absorbed"
"22","Toronto",1350000,1499711,314,"Single","Absorbed"
"23","Windsor",635000,726132,64,"Single","Absorbed"
