"","Municipal","Median","Average","Units","Type","Status"
"1","Barrie",NA,NA,0,"Semi_Detached","Absorbed"
"2","Belleville",NA,281900,8,"Semi_Detached","Absorbed"
"3","Brantford",NA,NA,3,"Semi_Detached","Absorbed"
"4","Chatham-Kent",NA,NA,0,"Semi_Detached","Absorbed"
"5","Cornwall",NA,NA,0,"Semi_Detached","Absorbed"
"6","Greater Sudbury / Grand Sudbury",NA,499771,7,"Semi_Detached","Absorbed"
"7","Guelph",NA,NA,2,"Semi_Detached","Absorbed"
"8","Hamilton",NA,1016189,12,"Semi_Detached","Absorbed"
"9","Kawartha Lakes",NA,NA,0,"Semi_Detached","Absorbed"
"10","Kingston",NA,NA,3,"Semi_Detached","Absorbed"
"11","Kitchener - Cambridge - Waterloo",NA,NA,1,"Semi_Detached","Absorbed"
"12","London",NA,516371,17,"Semi_Detached","Absorbed"
"13","Norfolk",NA,NA,1,"Semi_Detached","Absorbed"
"14","North Bay",NA,NA,0,"Semi_Detached","Absorbed"
"15","Oshawa",NA,621278,18,"Semi_Detached","Absorbed"
"16","Ottawa",NA,589920,10,"Semi_Detached","Absorbed"
"17","Peterborough",NA,NA,0,"Semi_Detached","Absorbed"
"18","Sarnia",NA,NA,0,"Semi_Detached","Absorbed"
"19","Sault Ste. Marie",NA,NA,0,"Semi_Detached","Absorbed"
"20","St. Catharines - Niagara",NA,NA,4,"Semi_Detached","Absorbed"
"21","Thunder Bay",NA,NA,0,"Semi_Detached","Absorbed"
"22","Toronto",775000,923171,50,"Semi_Detached","Absorbed"
"23","Windsor",NA,NA,4,"Semi_Detached","Absorbed"
