"","Municipality","X0_14","X15_24","X25_34","X35_44","X45_54","X55_64","Total.65","Total_POP"
"1","Barrie",36145,26365,28780,28335,28310,29845,32370,210155
"2","Belleville - Quinte West",17250,11225,13490,12940,12620,17835,23885,109250
"3","Bracebridge T",2305,1575,1750,1835,1955,2915,4430,16765
"4","Brantford",24650,16455,18265,18440,17715,20195,26185,141905
"5","Brighton MU",1360,1010,900,1005,1195,2145,3875,11495
"6","Brock TP",2125,1105,1600,1565,1330,2020,2565,12305
"7","Brockville",3945,3150,3190,3060,3690,5420,8435,30880
"8","Centre Wellington",5335,3245,3480,3680,3775,4575,6555,30645
"9","Chatham-Kent",16610,11275,10995,11525,12060,16560,23075,102090
"10","Cobourg",2540,1775,1955,2035,2010,3155,6310,19780
"11","Collingwood",3295,2235,2540,2630,2740,3825,7005,24275
"12","Cornwall",9635,6030,7220,6575,6755,9660,13880,59750
"13","Elliot Lake",1175,725,875,930,1010,2105,4410,11225
"14","Erin T",1815,1425,1165,1315,1890,2260,2080,11950
"15","Gravenhurst T",1500,1000,1195,1255,1340,2295,3540,12130
"16","Greater Napanee T",2280,1500,1695,1685,1950,2705,4145,15960
"17","Greater Sudbury / Grand Sudbury",26305,19540,21385,20735,21375,25705,32575,167620
"18","Guelph",26900,21465,23915,22020,21370,21535,26280,163485
"19","Haldimand County CY",8625,5235,5765,5685,5785,7850,9620,48565
"20","Hamilton",125670,91695,104275,101965,100550,108170,141120,773440
"21","Hawkesbury",1485,1025,1125,1130,1430,2020,3425,11640
"22","Huntsville T",2860,1960,2305,2330,2520,3800,4955,20730
"23","Ingersoll",2500,1530,1730,1780,1760,2025,2220,13545
"24","Kawartha Lakes",10530,6950,8040,7905,8585,13965,21260,77230
"25","Kenora",2290,1455,1980,1675,1855,2340,3015,14610
"26","Kincardine MU",2145,1080,1365,1590,1210,1930,2740,12060
"27","Kingston",24810,20770,23105,20375,19660,24405,34945,168075
"28","Kitchener - Cambridge - Waterloo",98465,75790,87920,77850,72400,71015,84620,568065
"29","Lambton Shores MU",1450,960,945,965,1195,2315,3710,11545
"30","London",89595,67705,76950,69220,65015,72465,94820,535780
"31","Meaford MU",1515,870,1025,1135,1195,2030,3540,11315
"32","Midland",3480,2390,3045,2715,3000,4610,7120,26365
"33","Norfolk",10245,6560,6985,6995,7505,11190,16750,66225
"34","North Bay",10380,7705,8520,8325,8475,11680,15090,70175
"35","North Perth MU",3285,1735,2185,1885,1555,1975,2790,15410
"36","Orillia",4645,3300,4415,3620,3570,4930,7795,32270
"37","Oshawa",76775,49590,54010,58010,55015,55490,62515,411405
"38","Ottawa",186910,141735,155870,149060,147520,152835,182865,1116800
"39","Owen Sound",4660,3170,3610,3595,3505,5280,8060,31870
"40","Pembroke",3565,2385,2910,2725,2630,3740,5125,23085
"41","Petawawa",3925,1880,3765,2680,1730,1610,1715,17295
"42","Peterborough",18900,14205,15945,14595,13885,19005,29455,125995
"43","Port Hope",2210,1535,1875,1860,1965,2925,4510,16890
"44","Prince Edward County CY",2965,1770,2155,2495,2720,4815,8275,25190
"45","Sarnia",14835,9970,11850,11100,10930,14970,22625,96285
"46","Saugeen Shores T",2530,1215,2000,1945,1515,2490,3950,15640
"47","Sault Ste. Marie",11030,8000,8870,8615,8790,12225,17895,75420
"48","Scugog TP",3020,2315,2130,2340,2570,3900,5010,21280
"49","South Dundas MU",1660,950,1110,1035,1330,1945,2920,10940
"50","South Huron MU",1515,890,1060,1030,985,1570,2800,9855
"51","St. Catharines - Niagara",62715,47295,52160,48255,52305,65970,96775,425480
"52","Stratford",4760,3340,3930,3985,3970,5115,7380,32485
"53","The Nation / La Nation M",2420,1335,1845,1715,1775,2120,1950,13155
"54","Thunder Bay",17635,14025,16295,13820,14720,18855,25625,120960
"55","Tillsonburg",2625,1850,1990,1975,1990,2660,5200,18295
"56","Timmins",6650,4785,5535,5045,5205,6285,6805,40310
"57","Toronto",963745,772540,929585,854935,841775,814545,965755,6142880
"58","Trent Hills MU",1720,1150,1245,1265,1510,2615,4110,13610
"59","Wasaga Beach",2900,1880,2120,2400,2550,4250,8495,24585
"60","West Grey MU",2070,1315,1220,1315,1550,2315,3205,12995
"61","West Nipissing / Nipissing Ouest M",2085,1315,1270,1470,1830,2645,3645,14255
"62","Windsor",68735,52960,52365,48850,54920,60425,77255,415505
"63","Woodstock",8225,4935,6405,6340,5315,6160,8565,45950
"64","Ontario",2248935,1687895,1944565,1826860,1823765,1989460,2510275,14031755
