"","Date","Single","Semi_Detach","Row","Apartment","Total","Year","Month"
"1",1990-01-01,3392,157,789,2881,7219,"1990","January"
"2",1990-02-01,2909,150,367,1860,5286,"1990","February"
"3",1990-03-01,3033,140,703,3198,7074,"1990","March"
"4",1990-04-01,2802,142,562,2510,6016,"1990","April"
"5",1990-05-01,2575,183,352,1976,5086,"1990","May"
"6",1990-06-01,2750,146,728,1579,5203,"1990","June"
"7",1990-07-01,2751,188,881,2268,6088,"1990","July"
"8",1990-08-01,2820,244,477,1416,4957,"1990","August"
"9",1990-09-01,3060,197,617,1626,5500,"1990","September"
"10",1990-10-01,2671,253,1006,2845,6775,"1990","October"
"11",1990-11-01,2490,192,926,1809,5417,"1990","November"
"12",1990-12-01,2058,157,983,1548,4746,"1990","December"
"13",1991-01-01,2742,236,826,3364,7168,"1991","January"
"14",1991-02-01,1453,156,506,1712,3827,"1991","February"
"15",1991-03-01,1130,77,572,1814,3593,"1991","March"
"16",1991-04-01,1192,110,575,1845,3722,"1991","April"
"17",1991-05-01,1211,148,433,2465,4257,"1991","May"
"18",1991-06-01,1345,125,516,2162,4148,"1991","June"
"19",1991-07-01,1592,145,410,1554,3701,"1991","July"
"20",1991-08-01,1973,164,685,1522,4344,"1991","August"
"21",1991-09-01,2361,186,355,1615,4517,"1991","September"
"22",1991-10-01,2715,154,857,2226,5952,"1991","October"
"23",1991-11-01,2484,170,819,842,4315,"1991","November"
"24",1991-12-01,2182,143,761,1172,4258,"1991","December"
"25",1992-01-01,2110,117,995,2883,6105,"1992","January"
"26",1992-02-01,1711,176,962,896,3745,"1992","February"
"27",1992-03-01,1483,87,651,856,3077,"1992","March"
"28",1992-04-01,1341,106,518,766,2731,"1992","April"
"29",1992-05-01,1442,94,1027,1471,4034,"1992","May"
"30",1992-06-01,2086,142,727,1301,4256,"1992","June"
"31",1992-07-01,2035,191,740,1395,4361,"1992","July"
"32",1992-08-01,2785,210,1260,2612,6867,"1992","August"
"33",1992-09-01,2806,374,597,863,4640,"1992","September"
"34",1992-10-01,2642,250,1609,1214,5715,"1992","October"
"35",1992-11-01,2173,274,838,987,4272,"1992","November"
"36",1992-12-01,2150,270,1179,2014,5613,"1992","December"
"37",1993-01-01,2123,216,537,1461,4337,"1993","January"
"38",1993-02-01,1500,164,225,615,2504,"1993","February"
"39",1993-03-01,1388,178,704,985,3255,"1993","March"
"40",1993-04-01,1478,204,539,700,2921,"1993","April"
"41",1993-05-01,1472,148,374,549,2543,"1993","May"
"42",1993-06-01,1676,153,453,1042,3324,"1993","June"
"43",1993-07-01,1942,210,646,2470,5268,"1993","July"
"44",1993-08-01,2482,174,416,1849,4921,"1993","August"
"45",1993-09-01,2335,266,1167,1100,4868,"1993","September"
"46",1993-10-01,2162,246,467,722,3597,"1993","October"
"47",1993-11-01,1910,224,889,309,3332,"1993","November"
"48",1993-12-01,1773,232,554,904,3463,"1993","December"
"49",1994-01-01,1708,200,560,483,2951,"1994","January"
"50",1994-02-01,1258,182,499,783,2722,"1994","February"
"51",1994-03-01,1204,126,558,752,2640,"1994","March"
"52",1994-04-01,1343,172,520,569,2604,"1994","April"
"53",1994-05-01,1615,184,416,379,2594,"1994","May"
"54",1994-06-01,1765,192,417,571,2945,"1994","June"
"55",1994-07-01,2365,342,759,784,4250,"1994","July"
