"","Date","Single","Semi_Detached","Row","Apartment","Total","Semi_Detach","Month","Year"
"1","Jan-90",1946,102,746,2272,5066,102,"Jan-90",1990
"2","Feb-90",1088,70,437,950,2545,70,"Feb-90",1990
"3","Mar-90",1277,69,589,1997,3932,69,"Mar-90",1990
"4","Apr-90",1972,110,502,1522,4106,110,"Apr-90",1990
"5","May-90",2180,137,836,1965,5118,137,"May-90",1990
"6","Jun-90",1775,162,591,1144,3672,162,"Jun-90",1990
"7","Jul-90",1576,169,396,2245,4386,169,"Jul-90",1990
"8","Aug-90",923,94,445,912,2374,94,"Aug-90",1990
"9","Sep-90",1521,169,792,596,3078,169,"Sep-90",1990
"10","Oct-90",1225,104,599,401,2329,104,"Oct-90",1990
"11","Nov-90",1110,99,506,745,2460,99,"Nov-90",1990
"12","Dec-90",820,59,218,655,1752,59,"Dec-90",1990
"13","Jan-91",499,22,216,1217,1954,22,"Jan-91",1991
"14","Feb-91",320,44,412,562,1338,44,"Feb-91",1991
"15","Mar-91",615,45,287,244,1191,45,"Mar-91",1991
"16","Apr-91",1098,66,546,759,2469,66,"Apr-91",1991
"17","May-91",1691,93,727,569,3080,93,"May-91",1991
"18","Jun-91",2373,72,1034,1168,4647,72,"Jun-91",1991
"19","Jul-91",2531,160,581,1682,4954,160,"Jul-91",1991
"20","Aug-91",2173,146,673,1662,4654,146,"Aug-91",1991
"21","Sep-91",1603,164,907,1751,4425,164,"Sep-91",1991
"22","Oct-91",1605,107,1034,598,3344,107,"Oct-91",1991
"23","Nov-91",1434,98,952,975,3459,98,"Nov-91",1991
"24","Dec-91",1018,64,712,592,2386,64,"Dec-91",1991
"25","Jan-92",848,50,636,310,1844,50,"Jan-92",1992
"26","Feb-92",691,55,406,1517,2669,55,"Feb-92",1992
"27","Mar-92",771,111,528,1301,2711,111,"Mar-92",1992
"28","Apr-92",1716,262,781,1803,4562,262,"Apr-92",1992
"29","May-92",1928,198,808,1508,4442,198,"May-92",1992
"30","Jun-92",1964,166,671,609,3410,166,"Jun-92",1992
"31","Jul-92",2047,302,522,2123,4994,302,"Jul-92",1992
"32","Aug-92",1722,114,469,810,3115,114,"Aug-92",1992
"33","Sep-92",1600,122,713,1061,3496,122,"Sep-92",1992
"34","Oct-92",1600,120,640,408,2768,120,"Oct-92",1992
"35","Nov-92",1831,252,493,987,3563,252,"Nov-92",1992
"36","Dec-92",1389,182,284,681,2536,182,"Dec-92",1992
"37","Jan-93",992,152,321,91,1556,152,"Jan-93",1993
"38","Feb-93",894,84,404,200,1582,84,"Feb-93",1993
"39","Mar-93",766,92,344,993,2195,92,"Mar-93",1993
"40","Apr-93",1622,214,486,754,3076,214,"Apr-93",1993
"41","May-93",1915,113,545,803,3376,113,"May-93",1993
"42","Jun-93",1626,137,561,93,2417,137,"Jun-93",1993
"43","Jul-93",1692,108,597,817,3214,108,"Jul-93",1993
"44","Aug-93",1455,138,812,109,2514,138,"Aug-93",1993
"45","Sep-93",1420,180,544,675,2819,180,"Sep-93",1993
"46","Oct-93",1512,180,528,1009,3229,180,"Oct-93",1993
"47","Nov-93",1363,246,671,1470,3750,246,"Nov-93",1993
"48","Dec-93",1354,178,462,486,2480,178,"Dec-93",1993
"49","Jan-94",929,91,434,220,1674,91,"Jan-94",1994
"50","Feb-94",580,78,268,811,1737,78,"Feb-94",1994
"51","Mar-94",899,114,416,260,1689,114,"Mar-94",1994
"52","Apr-94",2042,320,640,519,3521,320,"Apr-94",1994
"53","May-94",2347,230,661,358,3596,230,"May-94",1994
"54","Jun-94",2197,358,549,350,3454,358,"Jun-94",1994
"55","Jul-94",2491,287,681,701,4160,287,"Jul-94",1994
"56","Aug-94",2131,266,688,281,3366,266,"Aug-94",1994
"57","Sep-94",2036,284,666,553,3539,284,"Sep-94",1994
"58","Oct-94",2172,312,712,717,3913,312,"Oct-94",1994
"59","Nov-94",1771,230,542,506,3049,230,"Nov-94",1994
"60","Dec-94",1252,149,222,91,1714,149,"Dec-94",1994
"61","Jan-95",871,64,341,405,1681,64,"Jan-95",1995
"62","Feb-95",751,40,366,530,1687,40,"Feb-95",1995
"63","Mar-95",691,62,316,826,1895,62,"Mar-95",1995
"64","Apr-95",1182,278,526,572,2558,278,"Apr-95",1995
"65","May-95",1241,192,313,229,1975,192,"May-95",1995
"66","Jun-95",1564,152,363,572,2651,152,"Jun-95",1995
"67","Jul-95",997,90,495,412,1994,90,"Jul-95",1995
"68","Aug-95",1194,159,415,589,2357,159,"Aug-95",1995
"69","Sep-95",1245,264,472,621,2602,264,"Sep-95",1995
"70","Oct-95",1294,128,400,284,2106,128,"Oct-95",1995
"71","Nov-95",1186,196,857,637,2876,196,"Nov-95",1995
"72","Dec-95",1135,116,587,764,2602,116,"Dec-95",1995
"73","Jan-96",898,90,243,349,1580,90,"Jan-96",1996
"74","Feb-96",604,52,316,374,1346,52,"Feb-96",1996
"75","Mar-96",857,92,221,271,1441,92,"Mar-96",1996
"76","Apr-96",1452,156,447,129,2184,156,"Apr-96",1996
"77","May-96",2007,498,612,420,3537,498,"May-96",1996
"78","Jun-96",2163,402,608,283,3456,402,"Jun-96",1996
"79","Jul-96",2199,300,927,14,3440,300,"Jul-96",1996
"80","Aug-96",1775,259,918,78,3030,259,"Aug-96",1996
"81","Sep-96",1824,196,899,826,3745,196,"Sep-96",1996
"82","Oct-96",1844,208,784,322,3158,208,"Oct-96",1996
"83","Nov-96",1851,292,892,379,3414,292,"Nov-96",1996
"84","Dec-96",1707,278,584,668,3237,278,"Dec-96",1996
"85","Jan-97",1078,192,379,563,2212,192,"Jan-97",1997
"86","Feb-97",1442,278,411,215,2346,278,"Feb-97",1997
"87","Mar-97",1393,242,374,246,2255,242,"Mar-97",1997
"88","Apr-97",2282,258,771,804,4115,258,"Apr-97",1997
"89","May-97",2859,398,996,28,4281,398,"May-97",1997
"90","Jun-97",2458,226,691,105,3480,226,"Jun-97",1997
"91","Jul-97",2553,262,948,356,4119,262,"Jul-97",1997
"92","Aug-97",2724,525,774,345,4368,525,"Aug-97",1997
"93","Sep-97",2608,522,783,397,4310,522,"Sep-97",1997
"94","Oct-97",2680,252,951,164,4047,252,"Oct-97",1997
"95","Nov-97",2219,194,1303,135,3851,194,"Nov-97",1997
"96","Dec-97",1790,392,637,707,3526,392,"Dec-97",1997
"97","Jan-98",1469,174,722,257,2622,174,"Jan-98",1998
"98","Feb-98",1348,166,793,152,2459,166,"Feb-98",1998
"99","Mar-98",1172,364,603,1148,3287,364,"Mar-98",1998
"100","Apr-98",2367,298,675,848,4188,298,"Apr-98",1998
"101","May-98",2551,346,1055,369,4321,346,"May-98",1998
"102","Jun-98",2136,260,739,240,3375,260,"Jun-98",1998
"103","Jul-98",1740,162,371,598,2871,162,"Jul-98",1998
"104","Aug-98",2208,326,728,664,3926,326,"Aug-98",1998
"105","Sep-98",2132,482,935,533,4082,482,"Sep-98",1998
"106","Oct-98",2371,490,1018,430,4309,490,"Oct-98",1998
"107","Nov-98",2172,450,828,384,3834,450,"Nov-98",1998
"108","Dec-98",2155,526,669,509,3859,526,"Dec-98",1998
"109","Jan-99",1308,478,311,641,2738,478,"Jan-99",1999
"110","Feb-99",1435,292,719,557,3003,292,"Feb-99",1999
"111","Mar-99",1474,350,627,768,3219,350,"Mar-99",1999
"112","Apr-99",2720,614,564,1276,5174,614,"Apr-99",1999
"113","May-99",2954,646,939,1435,5974,646,"May-99",1999
"114","Jun-99",3014,630,743,815,5202,630,"Jun-99",1999
"115","Jul-99",2965,364,804,484,4617,364,"Jul-99",1999
"116","Aug-99",2732,422,745,1170,5069,422,"Aug-99",1999
"117","Sep-99",2687,519,816,765,4787,519,"Sep-99",1999
"118","Oct-99",2466,444,845,1055,4810,444,"Oct-99",1999
"119","Nov-99",2439,775,844,1242,5300,775,"Nov-99",1999
"120","Dec-99",2690,474,1302,275,4741,474,"Dec-99",1999
"121","Jan-00",1843,494,622,167,3126,494,"Jan-00",2000
"122","Feb-00",1333,356,480,2136,4305,356,"Feb-00",2000
"123","Mar-00",2110,406,570,1052,4138,406,"Mar-00",2000
"124","Apr-00",3125,816,999,973,5913,816,"Apr-00",2000
"125","May-00",3023,478,795,381,4677,478,"May-00",2000
"126","Jun-00",2939,468,682,375,4464,468,"Jun-00",2000
"127","Jul-00",3205,796,1060,1525,6586,796,"Jul-00",2000
"128","Aug-00",2722,516,838,818,4894,516,"Aug-00",2000
"129","Sep-00",2646,726,868,1278,5518,726,"Sep-00",2000
"130","Oct-00",2576,582,1051,1878,6087,582,"Oct-00",2000
"131","Nov-00",2977,490,1141,877,5485,490,"Nov-00",2000
"132","Dec-00",2629,602,913,574,4718,602,"Dec-00",2000
"133","Jan-01",1887,522,471,1307,4187,522,"Jan-01",2001
"134","Feb-01",1591,490,443,930,3454,490,"Feb-01",2001
"135","Mar-01",1973,560,830,988,4351,560,"Mar-01",2001
"136","Apr-01",2814,632,851,1408,5705,632,"Apr-01",2001
"137","May-01",2691,570,660,1727,5648,570,"May-01",2001
"138","Jun-01",2995,624,989,1803,6411,624,"Jun-01",2001
"139","Jul-01",2500,478,693,617,4288,478,"Jul-01",2001
"140","Aug-01",2990,750,1076,1767,6583,750,"Aug-01",2001
"141","Sep-01",2521,592,596,1386,5095,592,"Sep-01",2001
"142","Oct-01",3086,354,905,1082,5427,354,"Oct-01",2001
"143","Nov-01",3045,550,778,1467,5840,550,"Nov-01",2001
"144","Dec-01",2522,464,826,1230,5042,464,"Dec-01",2001
"145","Jan-02",2044,698,768,2144,5654,698,"Jan-02",2002
"146","Feb-02",1958,440,526,783,3707,440,"Feb-02",2002
"147","Mar-02",2515,480,524,1293,4812,480,"Mar-02",2002
"148","Apr-02",3546,530,1042,1008,6126,530,"Apr-02",2002
"149","May-02",4206,612,1069,1043,6930,612,"May-02",2002
"150","Jun-02",4166,542,1130,272,6110,542,"Jun-02",2002
"151","Jul-02",3997,726,1003,1392,7118,726,"Jul-02",2002
"152","Aug-02",4055,508,1067,1086,6716,508,"Aug-02",2002
"153","Sep-02",3488,378,1015,686,5567,378,"Sep-02",2002
"154","Oct-02",4149,711,1214,883,6957,711,"Oct-02",2002
"155","Nov-02",3101,322,775,2197,6395,322,"Nov-02",2002
"156","Dec-02",2905,408,787,548,4648,408,"Dec-02",2002
"157","Jan-03",1767,244,731,452,3194,244,"Jan-03",2003
"158","Feb-03",1838,360,663,3541,6402,360,"Feb-03",2003
"159","Mar-03",1952,452,503,1531,4438,452,"Mar-03",2003
"160","Apr-03",3375,474,837,1166,5852,474,"Apr-03",2003
"161","May-03",3660,605,988,837,6090,605,"May-03",2003
"162","Jun-03",3873,586,937,1131,6527,586,"Jun-03",2003
"163","Jul-03",3697,679,1082,1086,6544,679,"Jul-03",2003
"164","Aug-03",3504,633,1262,1634,7033,633,"Aug-03",2003
"165","Sep-03",3129,485,1197,1501,6312,485,"Sep-03",2003
"166","Oct-03",3462,434,1178,3181,8255,434,"Oct-03",2003
"167","Nov-03",3168,662,1209,744,5783,662,"Nov-03",2003
"168","Dec-03",2628,346,722,1208,4904,346,"Dec-03",2003
"169","Jan-04",1562,304,548,444,2858,304,"Jan-04",2004
"170","Feb-04",1836,262,826,387,3311,262,"Feb-04",2004
"171","Mar-04",2336,284,971,1652,5243,284,"Mar-04",2004
"172","Apr-04",3103,414,961,2013,6491,414,"Apr-04",2004
"173","May-04",4072,642,1329,964,7007,642,"May-04",2004
"174","Jun-04",3663,494,943,1835,6935,494,"Jun-04",2004
"175","Jul-04",3895,476,1097,624,6092,476,"Jul-04",2004
"176","Aug-04",3587,334,889,3385,8195,334,"Aug-04",2004
"177","Sep-04",3117,336,1159,1573,6185,336,"Sep-04",2004
"178","Oct-04",3244,344,1102,2127,6817,344,"Oct-04",2004
"179","Nov-04",2847,482,908,1489,5726,482,"Nov-04",2004
"180","Dec-04",2267,266,880,936,4349,266,"Dec-04",2004
"181","Jan-05",1457,252,586,471,2766,252,"Jan-05",2005
"182","Feb-05",1371,266,923,861,3421,266,"Feb-05",2005
"183","Mar-05",1604,142,639,1848,4233,142,"Mar-05",2005
"184","Apr-05",2992,562,773,1940,6267,562,"Apr-05",2005
"185","May-05",3383,450,924,774,5531,450,"May-05",2005
"186","Jun-05",3421,428,1418,2839,8106,428,"Jun-05",2005
"187","Jul-05",2837,386,1397,3452,8072,386,"Jul-05",2005
"188","Aug-05",2549,302,1069,973,4893,302,"Aug-05",2005
"189","Sep-05",2692,582,753,909,4936,582,"Sep-05",2005
"190","Oct-05",2420,259,815,879,4373,259,"Oct-05",2005
"191","Nov-05",2363,348,1228,2172,6111,348,"Nov-05",2005
"192","Dec-05",2320,294,609,1773,4996,294,"Dec-05",2005
"193","Jan-06",1717,270,898,1084,3969,270,"Jan-06",2006
"194","Feb-06",1628,256,787,896,3567,256,"Feb-06",2006
"195","Mar-06",1517,240,639,1791,4187,240,"Mar-06",2006
"196","Apr-06",2190,440,833,1610,5073,440,"Apr-06",2006
"197","May-06",2509,458,855,1847,5669,458,"May-06",2006
"198","Jun-06",2879,340,1064,2368,6651,340,"Jun-06",2006
"199","Jul-06",2617,268,940,2775,6600,268,"Jul-06",2006
"200","Aug-06",2432,358,640,1417,4847,358,"Aug-06",2006
"201","Sep-06",2486,256,570,853,4165,256,"Sep-06",2006
"202","Oct-06",2524,244,696,1882,5346,244,"Oct-06",2006
"203","Nov-06",2299,439,819,1598,5155,439,"Nov-06",2006
"204","Dec-06",1935,316,895,840,3986,316,"Dec-06",2006
"205","Jan-07",1824,386,872,1169,4251,386,"Jan-07",2007
"206","Feb-07",1210,164,523,488,2385,164,"Feb-07",2007
"207","Mar-07",1368,226,539,722,2855,226,"Mar-07",2007
"208","Apr-07",2248,308,983,989,4528,308,"Apr-07",2007
"209","May-07",2849,414,1361,1514,6138,414,"May-07",2007
"210","Jun-07",3053,422,900,1070,5445,422,"Jun-07",2007
"211","Jul-07",3078,256,1152,1441,5927,256,"Jul-07",2007
"212","Aug-07",2903,320,805,1172,5200,320,"Aug-07",2007
"213","Sep-07",2698,364,861,2298,6221,364,"Sep-07",2007
"214","Oct-07",2551,324,726,1787,5388,324,"Oct-07",2007
"215","Nov-07",3254,426,1030,1436,6146,426,"Nov-07",2007
"216","Dec-07",1981,190,678,269,3118,190,"Dec-07",2007
"217","Jan-08",1671,170,748,1407,3996,170,"Jan-08",2008
"218","Feb-08",1512,136,409,2112,4169,136,"Feb-08",2008
"219","Mar-08",1477,154,626,2477,4734,154,"Mar-08",2008
"220","Apr-08",2270,206,921,2678,6075,206,"Apr-08",2008
"221","May-08",2852,286,1057,1739,5934,286,"May-08",2008
"222","Jun-08",2553,346,1107,3506,7512,346,"Jun-08",2008
"223","Jul-08",2385,340,1074,727,4526,340,"Jul-08",2008
"224","Aug-08",2426,268,1029,3670,7393,268,"Aug-08",2008
"225","Sep-08",1845,320,988,3539,6692,320,"Sep-08",2008
"226","Oct-08",2166,196,927,3569,6858,196,"Oct-08",2008
"227","Nov-08",1669,335,697,1740,4441,335,"Nov-08",2008
"228","Dec-08",1482,280,575,1414,3751,280,"Dec-08",2008
"229","Jan-09",871,250,384,1104,2609,250,"Jan-09",2009
"230","Feb-09",613,68,361,931,1973,68,"Feb-09",2009
"231","Mar-09",656,177,422,2503,3758,177,"Mar-09",2009
"232","Apr-09",964,188,488,880,2520,188,"Apr-09",2009
"233","May-09",1428,284,530,1161,3403,284,"May-09",2009
"234","Jun-09",1566,228,447,1756,3997,228,"Jun-09",2009
"235","Jul-09",1592,284,555,906,3337,284,"Jul-09",2009
"236","Aug-09",1530,186,609,1429,3754,186,"Aug-09",2009
"237","Sep-09",1898,258,580,1503,4239,258,"Sep-09",2009
"238","Oct-09",2090,206,675,2671,5642,206,"Oct-09",2009
"239","Nov-09",2160,364,873,1010,4407,364,"Nov-09",2009
"240","Dec-09",2019,228,780,682,3709,228,"Dec-09",2009
"241","Jan-10",1692,194,570,593,3049,194,"Jan-10",2010
"242","Feb-10",1459,152,574,1654,3839,152,"Feb-10",2010
"243","Mar-10",1563,112,588,837,3100,112,"Mar-10",2010
"244","Apr-10",1918,334,815,1663,4730,334,"Apr-10",2010
"245","May-10",2128,238,998,2062,5426,238,"May-10",2010
