"","Municipality","Ave_Incom_Onw_Rent","Houhold_Mon_Inco"
"1","Barrie",58000,4833.33333333333
"2","Belleville - Quinte West",46400,3866.66666666667
"3","Bracebridge T",45600,3800
"4","Brantford",48000,4000
"5","Brighton MU",43200,3600
"6","Brock TP",53200,4433.33333333333
"7","Brockville",41600,3466.66666666667
"8","Centre Wellington",50400,4200
"9","Chatham-Kent",42400,3533.33333333333
"10","Cobourg",48000,4000
"11","Collingwood",47600,3966.66666666667
"12","Cornwall",41200,3433.33333333333
"13","Elliot Lake",38000,3166.66666666667
"14","Erin T",54000,4500
"15","Gravenhurst T",44400,3700
"16","Greater Napanee T",42800,3566.66666666667
"17","Greater Sudbury / Grand Sudbury",46400,3866.66666666667
"18","Guelph",56000,4666.66666666667
"19","Haldimand County CY",44800,3733.33333333333
"20","Hamilton",50800,4233.33333333333
"21","Hawkesbury",36400,3033.33333333333
"22","Huntsville T",43600,3633.33333333333
"23","Ingersoll",48000,4000
"24","Kawartha Lakes",42400,3533.33333333333
"25","Kenora",48000,4000
"26","Kincardine MU",47600,3966.66666666667
"27","Kingston",48800,4066.66666666667
"28","Kitchener - Cambridge - Waterloo",54400,4533.33333333333
"29","Lambton Shores MU",40800,3400
"30","London",47200,3933.33333333333
"31","Meaford MU",42000,3500
"32","Midland",40800,3400
"33","Norfolk",45600,3800
"34","North Bay",42400,3533.33333333333
"35","North Perth MU",47600,3966.66666666667
"36","Ontario",53600,4466.66666666667
"37","Orillia",45600,3800
"38","Oshawa",54000,4500
"39","Ottawa",57200,4766.66666666667
"40","Owen Sound",38800,3233.33333333333
"41","Pembroke",40800,3400
"42","Petawawa",74500,6208.33333333333
"43","Peterborough",45200,3766.66666666667
"44","Port Hope",42800,3566.66666666667
"45","Prince Edward County CY",48400,4033.33333333333
"46","Sarnia",45600,3800
"47","Saugeen Shores T",48800,4066.66666666667
"48","Sault Ste. Marie",39600,3300
"49","Scugog TP",52800,4400
"50","South Dundas MU",43200,3600
"51","South Huron MU",45200,3766.66666666667
"52","St. Catharines - Niagara",45200,3766.66666666667
"53","Stratford",45200,3766.66666666667
"54","The Nation / La Nation M",52800,4400
"55","Thunder Bay",43600,3633.33333333333
"56","Tillsonburg",42800,3566.66666666667
"57","Timmins",42400,3533.33333333333
"58","Toronto",59200,4933.33333333333
"59","Trent Hills MU",42800,3566.66666666667
"60","Wasaga Beach",54000,4500
"61","West Grey MU",38800,3233.33333333333
"62","West Nipissing / Nipissing Ouest M",37200,3100
"63","Windsor",45200,3766.66666666667
"64","Woodstock",50000,4166.66666666667
