"","Municipality","One.Person.Household","Two.Person.Household","Three.Person.Household","Four.Person.Household","Five.Or.More.Person.Household"
"1","Barrie",8667.5,12697.5,6937.5,6757.5,4210
"2","Belleville - Quinte West",6405,8907.5,3390,2685,1717.5
"3","Bracebridge T",1007.5,1450,485,447.5,225
"4","Brantford",7190,9605,4490,4027.5,2687.5
"5","Brighton MU",612.5,1190,300,255,147.5
"6","Brock TP",555,885,367.5,350,235
"7","Brockville",2440,2855,912.5,662.5,350
"8","Centre Wellington",1357.5,2275,877.5,900,580
"9","Chatham-Kent",6695,8410,2945,2422.5,1597.5
"10","Cobourg",1475,1850,570,435,235
"11","Collingwood",1902.5,2092.5,710,597.5,285
"12","Cornwall",4397.5,5032.5,1767.5,1357.5,845
"13","Elliot Lake",1162.5,1232.5,252.5,167.5,100
"14","Erin T",320,772.5,370,400,250
"15","Gravenhurst T",812.5,1187.5,352.5,250,147.5
"16","Greater Napanee T",930,1412.5,475,382.5,237.5
"17","Greater Sudbury / Grand Sudbury",11250,13382.5,5405,4537.5,2082.5
"18","Guelph",8217.5,10670,5127.5,5127.5,2950
"19","Haldimand County CY",2117.5,3465,1442.5,1342.5,992.5
"20","Hamilton",41645,50140,24437.5,23625,13842.5
"21","Hawkesbury",1252.5,1087.5,352.5,190,105
"22","Huntsville T",1167.5,1792.5,630,530,287.5
"23","Ingersoll",687.5,992.5,442.5,385,227.5
"24","Kawartha Lakes",4195,6857.5,2290,1877.5,1137.5
"25","Kenora",1065,1167.5,452.5,380,185
"26","Kincardine MU",757.5,997.5,315,327.5,185
"27","Kingston",11092.5,13835,5232.5,4405,2192.5
"28","Kitchener - Cambridge - Waterloo",27165,36085,17847.5,17580,10857.5
"29","Lambton Shores MU",757.5,1237.5,277.5,230,150
"30","London",32635,38205,16445,14755,9082.5
"31","Meaford MU",702.5,1107.5,310,270,127.5
"32","Midland",1815,2307.5,860,632.5,297.5
"33","Norfolk",3687.5,5580,1825,1637.5,1065
"34","North Bay",4787.5,6002.5,2180,1770,855
"35","North Perth MU",747.5,1102.5,397.5,397.5,335
"36","Orillia",2392.5,2605,1032.5,725,452.5
"37","Oshawa",15665,22712.5,13537.5,13850,8757.5
"38","Ottawa",63227.5,76905,34467.5,33110,19080
"39","Owen Sound",2330,2770,917.5,760,417.5
"40","Pembroke",1612.5,1922.5,745,532.5,315
"41","Petawawa",777.5,1180,577.5,570,272.5
"42","Peterborough",7597.5,9965,3872.5,3265,1957.5
"43","Port Hope",985,1495,550,420,210
"44","Prince Edward County CY",1535,2625,682.5,537.5,285
"45","Sarnia",6577.5,8062.5,2855,2447.5,1285
"46","Saugeen Shores T",1002.5,1412.5,430,417.5,195
"47","Sault Ste. Marie",5707.5,6290,2445,1882.5,797.5
"48","Scugog TP",802.5,1632.5,677.5,655,355
"49","South Dundas MU",605,1002.5,297.5,250,175
"50","South Huron MU",662.5,880,245,227.5,150
"51","St. Catharines - Niagara",25735,32747.5,13382.5,11075,6675
"52","Stratford",2462.5,2732.5,982.5,802.5,397.5
"53","The Nation / La Nation M",520,985,417.5,417.5,217.5
"54","Thunder Bay",8987.5,9720,3765,3075,1522.5
"55","Tillsonburg",1292.5,1650,507.5,440,230
"56","Timmins",2850,3207.5,1315,1100,470
"57","Toronto",282725,322057.5,195440,193375,137625
"58","Trent Hills MU",765,1300,382.5,312.5,187.5
"59","Wasaga Beach",1427.5,2412.5,715,540,310
"60","West Grey MU",627.5,1107.5,377.5,297.5,235
"61","West Nipissing / Nipissing Ouest M",955,1320,420,340,165
"62","Windsor",23242.5,27560,12322.5,11557.5,8160
"63","Woodstock",2647.5,3292.5,1447.5,1285,767.5
