"","Municipality","Couple.With.Children","Couple.Without.Children","Total.Lone..Parent.Households","Multiple..Family","Total.One..Person.Households","Other.Non.Family"
"1","Barrie",12717.5,10040,4877.5,1222.5,8667.5,1747.5
"2","Belleville - Quinte West",5572.5,7152.5,2522.5,462.5,6405,987.5
"3","Bracebridge T",892.5,1222.5,322.5,60,1007.5,105
"4","Brantford",8205,7535,3415,712.5,7190,950
"5","Brighton MU",530,1072.5,182.5,50,612.5,57.5
"6","Brock TP",715,757.5,225,80,555,62.5
"7","Brockville",1325,2260,785,115,2440,290
"8","Centre Wellington",1897.5,1985,487.5,125,1357.5,130
"9","Chatham-Kent",5290,6810,2345,272.5,6695,652.5
"10","Cobourg",880,1517.5,510,62.5,1475,120
"11","Collingwood",1152.5,1752.5,530,67.5,1902.5,185
"12","Cornwall",2802.5,3922.5,1595,175,4397.5,510
"13","Elliot Lake",350,992.5,280,15,1162.5,120
"14","Erin T",782.5,677.5,182.5,97.5,320,50
"15","Gravenhurst T",502.5,967.5,280,65,812.5,122.5
"16","Greater Napanee T",845,1167.5,332.5,42.5,930,112.5
"17","Greater Sudbury / Grand Sudbury",8865,10415,4075,495,11250,1562.5
"18","Guelph",9820,8392.5,3100,772.5,8217.5,1787.5
"19","Haldimand County CY",2942.5,2980,840,247.5,2117.5,235
"20","Hamilton",46635,38445,17545,3630,41645,5792.5
"21","Hawkesbury",412.5,822.5,372.5,17.5,1252.5,107.5
"22","Huntsville T",1062.5,1520,385,100,1167.5,170
"23","Ingersoll",815,805,307.5,45,687.5,80
"24","Kawartha Lakes",3882.5,5940,1427.5,407.5,4195,507.5
"25","Kenora",737.5,952.5,337.5,50,1065,112.5
"26","Kincardine MU",677.5,865,192.5,35,757.5,50
"27","Kingston",8612.5,10800,3590,502.5,11092.5,2157.5
"28","Kitchener - Cambridge - Waterloo",34510,28040,11315,2570,27165,5930
"29","Lambton Shores MU",500,1122.5,182.5,30,757.5,62.5
"30","London",29942.5,28955,12120,1655,32635,5810
"31","Meaford MU",550,1007.5,165,40,702.5,52.5
"32","Midland",1210,1805,697.5,132.5,1815,250
"33","Norfolk",3510,4755,1200,277.5,3687.5,370
"34","North Bay",3445,4737.5,1680,212.5,4787.5,730
"35","North Perth MU",950,957.5,212.5,30,747.5,80
"36","Orillia",1425,1945,927.5,167.5,2392.5,357.5
"37","Oshawa",26602.5,17255,9657.5,2662.5,15665,2677.5
"38","Ottawa",66075,59785,22427.5,3552.5,63227.5,11715
"39","Owen Sound",1552.5,2285,722.5,87.5,2330,220
"40","Pembroke",1135,1537.5,600,62.5,1612.5,182.5
"41","Petawawa",1170,937.5,272.5,35,777.5,187.5
"42","Peterborough",6382.5,8035,2790,492.5,7597.5,1362.5
"43","Port Hope",867.5,1245,387.5,70,985,105
"44","Prince Edward County CY",1152.5,2375,365,85,1535,155
"45","Sarnia",4985,6592.5,2145,187.5,6577.5,742.5
"46","Saugeen Shores T",862.5,1245,242.5,25,1002.5,75
"47","Sault Ste. Marie",3725,4862.5,2040,167.5,5707.5,622.5
"48","Scugog TP",1285,1422.5,357.5,132.5,802.5,117.5
"49","South Dundas MU",535,867.5,215,47.5,605,62.5
"50","South Huron MU",495,775,172.5,20,662.5,42.5
"51","St. Catharines - Niagara",22475,25837.5,10170,1750,25735,3645
"52","Stratford",1622.5,2192.5,787.5,72.5,2462.5,240
"53","The Nation / La Nation M",857.5,880,192.5,37.5,520,67.5
"54","Thunder Bay",5995,7547.5,2992.5,310,8987.5,1240
"55","Tillsonburg",885,1390,375,60,1292.5,117.5
"56","Timmins",2062.5,2527.5,1047.5,97.5,2850,355
"57","Toronto",382040,235672.5,127630,48392.5,282725,54767.5
"58","Trent Hills MU",632.5,1105,262.5,80,765,105
"59","Wasaga Beach",1107.5,2127.5,482.5,120,1427.5,137.5
"60","West Grey MU",725,972.5,177.5,57.5,627.5,75
"61","West Nipissing / Nipissing Ouest M",680,1105,335,27.5,955,102.5
"62","Windsor",23870,21330,9735,1632.5,23242.5,3032.5
"63","Woodstock",2625,2622.5,1055,192.5,2647.5,297.5
