"X","X.x","Municipality","X0_14","X15_24","X25_34","X35_44","X45_54","X55_64","Total.65","Total_POP","X.y","Ave_Incom_Onw_Rent","Houhold_Mon_Inco","X.x.x","One.Person.Household","Two.Person.Household","Three.Person.Household","Four.Person.Household","Five.Or.More.Person.Household","X.y.y","Couple.With.Children","Couple.Without.Children","Total.Lone..Parent.Households","Multiple..Family","Total.One..Person.Households","Other.Non.Family","X.x.x.x","Non.Immigrant","Non.Permanent.Resident","Immigrant","Landed.Before.2006","Landed.2006.to.2015","Recent.Immigrants..Landed.2016.2021.","X.y.y.y","Estimated_Monthly_Shelter_Cost","X.x.x.x.x","With.a.Mortgage","Without.a.Mortgage","Total.Private.Households.With.Mortgage.Status.Known","X.y.y.y.y","Single.Detached","Semi.Detached","Row","Duplex","Low.Rise.Apt.","High.Rise.Apt.","Other","Total_structure","Affordability_Ratio","Pct_0_14","Pct_15_24","Pct_25_34","Pct_35_44","Pct_45_54","Pct_55_64","Pct_65_Plus","Total_Households","Share_One_Person","Share_Two_Person","Share_Three_Person","Share_Four_Person","Share_FivePlus_Person","Total_Household_Type","Share_Couple_With_Children","Share_Couple_Without_Children","Share_Lone_Parent","Share_Multiple_Family","Share_One_Person_Household","Share_Other_Non_Family","Share_Immigrant","Share_Pre2006","Share_2006_2015","Share_Recent_Immigrant","Apartment_Share","Detached_Share","Missing_Middle_Share"
1,1,"Barrie",36145,26365,28780,28335,28310,29845,32370,210155,1,58000,4833.33333333333,1,8667.5,12697.5,6937.5,6757.5,4210,1,12717.5,10040,4877.5,1222.5,8667.5,1747.5,1,30715,427.5,8127.5,6205,1315,600,1,1607.59616871111,1,39125,18285,57410,1,26702.5,1257.5,3562.5,2022.5,3450,2215,60,39270,0.332606103871264,17.1992101068259,12.5455021293807,13.6946539458971,13.4829054745307,13.4710094929933,14.2014227593919,15.402916894673,39270,0.220715558950853,0.323338426279603,0.176661573720397,0.172077922077922,0.107206518971225,39272.5,0.323827105480935,0.255649627602012,0.124196320580559,0.0311286523648864,0.220701508689286,0.0444967852823222,0.0386738359782066,0.763457397723777,0.161796370347585,0.073823438941864,0.144257703081232,0.679971988795518,0.174242424242424
2,2,"Belleville - Quinte West",17250,11225,13490,12940,12620,17835,23885,109250,2,46400,3866.66666666667,2,6405,8907.5,3390,2685,1717.5,2,5572.5,7152.5,2522.5,462.5,6405,987.5,2,20647.5,142.5,2315,1935,240,142.5,2,1170.81153722025,2,18300,13410,31715,2,15895,780,1160,515,3175,1320,262.5,23107.5,0.302796087212134,15.7894736842105,10.2745995423341,12.3478260869565,11.8443935926773,11.5514874141876,16.324942791762,21.862700228833,23105,0.277212724518502,0.385522614152781,0.146721488855226,0.116208612854361,0.0743345596191301,23102.5,0.241207661508495,0.309598528297803,0.109187317389893,0.0200194784114273,0.277242722649064,0.0427442917433178,0.0211899313501144,0.83585313174946,0.103671706263499,0.0615550755939525,0.19452558693065,0.687871903061776,0.106242561938764
3,3,"Bracebridge T",2305,1575,1750,1835,1955,2915,4430,16765,3,45600,3800,3,1007.5,1450,485,447.5,225,3,892.5,1222.5,322.5,60,1007.5,105,3,3260,17.5,342.5,322.5,5,10,3,1283.08903661726,3,3175,2560,5735,3,2735,92.5,220,120,352.5,55,42.5,3620,0.337655009636121,13.7488815985684,9.39457202505219,10.4384133611691,10.9454220101402,11.6611989263346,17.3874142558902,26.4240978228452,3615,0.278699861687414,0.401106500691563,0.134163208852006,0.123789764868603,0.0622406639004149,3610,0.247229916897507,0.338642659279778,0.0893351800554017,0.0166204986149584,0.279085872576177,0.0290858725761773,0.0204294661497167,0.941605839416058,0.0145985401459854,0.0291970802919708,0.112569060773481,0.755524861878453,0.119475138121547
4,4,"Brantford",24650,16455,18265,18440,17715,20195,26185,141905,4,48000,4000,4,7190,9605,4490,4027.5,2687.5,4,8205,7535,3415,712.5,7190,950,4,22922.5,195,4882.5,3905,680,295,4,1314.24975415108,4,24900,14720,39615,4,18417.5,1462.5,2392.5,865,2512.5,2275,75,28000,0.32856243853777,17.3707762235298,11.5957859131109,12.8712871287129,12.9946090694479,12.4837038864029,14.2313519608189,18.4524858179768,28000,0.256785714285714,0.343035714285714,0.160357142857143,0.143839285714286,0.0959821428571429,28007.5,0.292957243595465,0.269035079889315,0.121931625457467,0.0254396143890029,0.256716950816746,0.0339194858520039,0.0344068214650647,0.799795186891961,0.139272913466462,0.0604198668714798,0.170982142857143,0.657767857142857,0.168571428571429
5,5,"Brighton MU",1360,1010,900,1005,1195,2145,3875,11495,5,43200,3600,5,612.5,1190,300,255,147.5,5,530,1072.5,182.5,50,612.5,57.5,5,2085,0,420,392.5,20,5,5,1159.72691812904,5,1995,2245,4240,5,2205,47.5,55,42.5,105,17.5,30,2507.5,0.322146366146956,11.831230969987,8.78642888212266,7.8294910830796,8.74293170943889,10.3958242714224,18.6602870813397,33.7103088299261,2505,0.244510978043912,0.475049900199601,0.119760479041916,0.101796407185629,0.0588822355289421,2505,0.211576846307385,0.42814371257485,0.0728542914171657,0.0199600798403194,0.244510978043912,0.0229540918163673,0.0365376250543715,0.93452380952381,0.0476190476190476,0.0119047619047619,0.0488534396809571,0.879361914257228,0.0578265204386839
6,6,"Brock TP",2125,1105,1600,1565,1330,2020,2565,12305,6,53200,4433.33333333333,6,555,885,367.5,350,235,6,715,757.5,225,80,555,62.5,6,2130,0,257.5,232.5,20,0,6,1341.40884103403,6,2330,1465,3795,6,2075,40,60,12.5,205,0,0,2392.5,0.302573422789631,17.2694026818367,8.98008939455506,13.0028443722064,12.7184071515644,10.8086143843966,16.4160910199106,20.8451848841934,2392.5,0.231974921630094,0.369905956112853,0.153605015673981,0.146290491118077,0.0982236154649948,2395,0.298538622129436,0.316283924843424,0.0939457202505219,0.0334029227557411,0.231732776617954,0.0260960334029228,0.0209264526615197,0.902912621359223,0.0776699029126214,0,0.0856844305120167,0.867293625914316,0.0470219435736677
7,7,"Brockville",3945,3150,3190,3060,3690,5420,8435,30880,7,41600,3466.66666666667,7,2440,2855,912.5,662.5,350,7,1325,2260,785,115,2440,290,7,6432.5,15,770,652.5,77.5,42.5,7,1049.60964895192,7,4900,4485,9390,7,4330,492.5,437.5,62.5,1500,340,57.5,7220,0.302772014120746,12.7752590673575,10.2007772020725,10.330310880829,9.90932642487047,11.949481865285,17.5518134715026,27.315414507772,7220,0.337950138504155,0.395429362880886,0.126385041551247,0.0917590027700831,0.0484764542936288,7215,0.183645183645184,0.313236313236313,0.108801108801109,0.0159390159390159,0.338184338184338,0.0401940401940402,0.0249352331606218,0.847402597402597,0.100649350649351,0.0551948051948052,0.254847645429363,0.599722991689751,0.137465373961219
8,8,"Centre Wellington",5335,3245,3480,3680,3775,4575,6555,30645,8,50400,4200,8,1357.5,2275,877.5,900,580,8,1897.5,1985,487.5,125,1357.5,130,8,5110,10,862.5,765,65,30,8,1425.84492601614,8,5445,3945,9390,8,4345,302.5,352.5,90,787.5,52.5,57.5,5987.5,0.3394868871467,17.4090389949421,10.5890031000163,11.3558492413118,12.0084842551803,12.3184858867678,14.9290259422418,21.3901125795399,5990,0.226627712854758,0.379799666110184,0.146494156928214,0.15025041736227,0.0968280467445743,5982.5,0.317175094024237,0.331801086502298,0.0814876723777685,0.0208942749686586,0.226911826159632,0.0217300459674049,0.0281448849730788,0.88695652173913,0.0753623188405797,0.0347826086956522,0.140292275574113,0.725678496868476,0.124425887265136
9,9,"Chatham-Kent",16610,11275,10995,11525,12060,16560,23075,102090,9,42400,3533.33333333333,9,6695,8410,2945,2422.5,1597.5,9,5290,6810,2345,272.5,6695,652.5,9,19587.5,72.5,2407.5,2020,240,140,9,961.711590568947,9,16460,14205,30665,9,16777.5,717.5,775,355,2540,767.5,135,22065,0.272182525632721,16.2699578803017,11.0441767068273,10.7699089039083,11.2890586737193,11.8131060828681,16.2209814869233,22.6026055441277,22070,0.303352967829633,0.381060262800181,0.133439057544178,0.109764386044404,0.072383325781604,22065,0.239746204396102,0.308633582596873,0.10627690913211,0.0123498753682302,0.303421708588262,0.0295717199184228,0.0235821334116956,0.839044652128764,0.0996884735202492,0.0581516095534787,0.149898028552005,0.76036709721278,0.0837298889644233
10,10,"Cobourg",2540,1775,1955,2035,2010,3155,6310,19780,10,48000,4000,10,1475,1850,570,435,235,10,880,1517.5,510,62.5,1475,120,10,3822.5,5,742.5,690,20,27.5,10,1288.26860875322,10,2965,3300,6270,10,2627.5,202.5,562.5,82.5,892.5,180,17.5,4565,0.322067152188305,12.8412537917088,8.9737108190091,9.88372093023256,10.2881698685541,10.1617795753286,15.9504550050556,31.9009100101112,4565,0.323110624315444,0.4052573932092,0.12486308871851,0.0952902519167579,0.0514786418400876,4565,0.192771084337349,0.332420591456736,0.111719605695509,0.0136911281489595,0.323110624315444,0.0262869660460022,0.0375379170879676,0.929292929292929,0.0269360269360269,0.037037037037037,0.234939759036145,0.575575027382256,0.18565169769989
