"","X.x","Municipality","X0_14","X15_24","X25_34","X35_44","X45_54","X55_64","Total.65","Total_POP","X.y","Ave_Incom_Onw_Rent","Houhold_Mon_Inco","X.x.x","One.Person.Household","Two.Person.Household","Three.Person.Household","Four.Person.Household","Five.Or.More.Person.Household","X.y.y","Couple.With.Children","Couple.Without.Children","Total.Lone..Parent.Households","Multiple..Family","Total.One..Person.Households","Other.Non.Family","X.x.x.x","Non.Immigrant","Non.Permanent.Resident","Immigrant","Landed.Before.2006","Landed.2006.to.2015","Recent.Immigrants..Landed.2016.2021.","X.y.y.y","Estimated_Monthly_Shelter_Cost","X.x.x.x.x","With.a.Mortgage","Without.a.Mortgage","Total.Private.Households.With.Mortgage.Status.Known","X.y.y.y.y","Single.Detached","Semi.Detached","Row","Duplex","Low.Rise.Apt.","High.Rise.Apt.","Other","Total_structure","Affordability_Ratio"
"1",1,"Barrie",36145,26365,28780,28335,28310,29845,32370,210155,1,58000,4833.33333333333,1,8667.5,12697.5,6937.5,6757.5,4210,1,12717.5,10040,4877.5,1222.5,8667.5,1747.5,1,30715,427.5,8127.5,6205,1315,600,1,1607.59616871111,1,39125,18285,57410,1,26702.5,1257.5,3562.5,2022.5,3450,2215,60,39270,0.332606103871264
"2",2,"Belleville - Quinte West",17250,11225,13490,12940,12620,17835,23885,109250,2,46400,3866.66666666667,2,6405,8907.5,3390,2685,1717.5,2,5572.5,7152.5,2522.5,462.5,6405,987.5,2,20647.5,142.5,2315,1935,240,142.5,2,1170.81153722025,2,18300,13410,31715,2,15895,780,1160,515,3175,1320,262.5,23107.5,0.302796087212134
"3",3,"Bracebridge T",2305,1575,1750,1835,1955,2915,4430,16765,3,45600,3800,3,1007.5,1450,485,447.5,225,3,892.5,1222.5,322.5,60,1007.5,105,3,3260,17.5,342.5,322.5,5,10,3,1283.08903661726,3,3175,2560,5735,3,2735,92.5,220,120,352.5,55,42.5,3620,0.337655009636121
"4",4,"Brantford",24650,16455,18265,18440,17715,20195,26185,141905,4,48000,4000,4,7190,9605,4490,4027.5,2687.5,4,8205,7535,3415,712.5,7190,950,4,22922.5,195,4882.5,3905,680,295,4,1314.24975415108,4,24900,14720,39615,4,18417.5,1462.5,2392.5,865,2512.5,2275,75,28000,0.32856243853777
"5",5,"Brighton MU",1360,1010,900,1005,1195,2145,3875,11495,5,43200,3600,5,612.5,1190,300,255,147.5,5,530,1072.5,182.5,50,612.5,57.5,5,2085,0,420,392.5,20,5,5,1159.72691812904,5,1995,2245,4240,5,2205,47.5,55,42.5,105,17.5,30,2507.5,0.322146366146956
"6",6,"Brock TP",2125,1105,1600,1565,1330,2020,2565,12305,6,53200,4433.33333333333,6,555,885,367.5,350,235,6,715,757.5,225,80,555,62.5,6,2130,0,257.5,232.5,20,0,6,1341.40884103403,6,2330,1465,3795,6,2075,40,60,12.5,205,0,0,2392.5,0.302573422789631
"7",7,"Brockville",3945,3150,3190,3060,3690,5420,8435,30880,7,41600,3466.66666666667,7,2440,2855,912.5,662.5,350,7,1325,2260,785,115,2440,290,7,6432.5,15,770,652.5,77.5,42.5,7,1049.60964895192,7,4900,4485,9390,7,4330,492.5,437.5,62.5,1500,340,57.5,7220,0.302772014120746
"8",8,"Centre Wellington",5335,3245,3480,3680,3775,4575,6555,30645,8,50400,4200,8,1357.5,2275,877.5,900,580,8,1897.5,1985,487.5,125,1357.5,130,8,5110,10,862.5,765,65,30,8,1425.84492601614,8,5445,3945,9390,8,4345,302.5,352.5,90,787.5,52.5,57.5,5987.5,0.3394868871467
"9",9,"Chatham-Kent",16610,11275,10995,11525,12060,16560,23075,102090,9,42400,3533.33333333333,9,6695,8410,2945,2422.5,1597.5,9,5290,6810,2345,272.5,6695,652.5,9,19587.5,72.5,2407.5,2020,240,140,9,961.711590568947,9,16460,14205,30665,9,16777.5,717.5,775,355,2540,767.5,135,22065,0.272182525632721
"10",10,"Cobourg",2540,1775,1955,2035,2010,3155,6310,19780,10,48000,4000,10,1475,1850,570,435,235,10,880,1517.5,510,62.5,1475,120,10,3822.5,5,742.5,690,20,27.5,10,1288.26860875322,10,2965,3300,6270,10,2627.5,202.5,562.5,82.5,892.5,180,17.5,4565,0.322067152188305
"11",11,"Collingwood",3295,2235,2540,2630,2740,3825,7005,24275,11,47600,3966.66666666667,11,1902.5,2092.5,710,597.5,285,11,1152.5,1752.5,530,67.5,1902.5,185,11,4687.5,15,882.5,785,67.5,35,11,1445.55298724264,11,4160,3970,8125,11,3152.5,395,680,117.5,1005,237.5,12.5,5587.5,0.364425122834279
"12",12,"Cornwall",9635,6030,7220,6575,6755,9660,13880,59750,12,41200,3433.33333333333,12,4397.5,5032.5,1767.5,1357.5,845,12,2802.5,3922.5,1595,175,4397.5,510,12,12205,102.5,1090,832.5,162.5,100,12,1002.39260017328,12,8940,7190,16130,12,7700,1147.5,625,895,2332.5,575,122.5,13400,0.291959009759208
"13",13,"Elliot Lake",1175,725,875,930,1010,2105,4410,11225,13,38000,3166.66666666667,13,1162.5,1232.5,252.5,167.5,100,13,350,992.5,280,15,1162.5,120,13,2530,0,390,375,12.5,0,13,776.502929960575,13,1640,1905,3545,13,1315,550,292.5,35,440,287.5,0,2920,0.245211451566497
"14",14,"Erin T",1815,1425,1165,1315,1890,2260,2080,11950,14,54000,4500,14,320,772.5,370,400,250,14,782.5,677.5,182.5,97.5,320,50,14,1640,0,467.5,440,22.5,5,14,1497.50896934116,14,2310,1340,3650,14,1930,12.5,0,37.5,60,0,67.5,2110,0.332779770964702
"15",15,"Gravenhurst T",1500,1000,1195,1255,1340,2295,3540,12130,15,44400,3700,15,812.5,1187.5,352.5,250,147.5,15,502.5,967.5,280,65,812.5,122.5,15,2470,0,272.5,257.5,15,0,15,1153.5134180791,15,2180,2140,4320,15,2157.5,37.5,80,37.5,295,37.5,107.5,2750,0.311760383264622
"16",16,"Greater Napanee T",2280,1500,1695,1685,1950,2705,4145,15960,16,42800,3566.66666666667,16,930,1412.5,475,382.5,237.5,16,845,1167.5,332.5,42.5,930,112.5,16,3187.5,0,247.5,225,10,12.5,16,1185.508721398,16,2755,2070,4830,16,2530,152.5,132.5,20,587.5,0,7.5,3435,0.332385622821869
"17",17,"Greater Sudbury / Grand Sudbury",26305,19540,21385,20735,21375,25705,32575,167620,17,46400,3866.66666666667,17,11250,13382.5,5405,4537.5,2082.5,17,8865,10415,4075,495,11250,1562.5,17,33385,570,2705,2045,387.5,270,17,1185.97419222098,17,28025,19560,47580,17,22485,1710,1507.5,2140,6052.5,2392.5,365,36660,0.306717463505426
"18",18,"Guelph",26900,21465,23915,22020,21370,21535,26280,163485,18,56000,4666.66666666667,18,8217.5,10670,5127.5,5127.5,2950,18,9820,8392.5,3100,772.5,8217.5,1787.5,18,23270,397.5,8422.5,6085,1432.5,900,18,1501.45883750671,18,27210,16730,43945,18,17162.5,1352.5,4500,1790,3977.5,3257.5,52.5,32085,0.321741179465724
"19",19,"Haldimand County CY",8625,5235,5765,5685,5785,7850,9620,48565,19,44800,3733.33333333333,19,2117.5,3465,1442.5,1342.5,992.5,19,2942.5,2980,840,247.5,2117.5,235,19,8242.5,20,1095,950,115,32.5,19,1252.97502726511,19,9445,5925,15370,19,7897.5,292.5,340,157.5,607.5,27.5,40,9357.5,0.335618310874583
"20",20,"Hamilton",125670,91695,104275,101965,100550,108170,141120,773440,20,50800,4233.33333333333,20,41645,50140,24437.5,23625,13842.5,20,46635,38445,17545,3630,41645,5792.5,20,103977.5,2432.5,47280,36642.5,6812.5,3827.5,20,1437.76388779403,20,126655,83620,210270,20,84605,5082.5,21985,4040,12787.5,24825,370,153690,0.339629264833235
"21",21,"Hawkesbury",1485,1025,1125,1130,1430,2020,3425,11640,21,36400,3033.33333333333,21,1252.5,1087.5,352.5,190,105,21,412.5,822.5,372.5,17.5,1252.5,107.5,21,2832.5,7.5,152.5,102.5,30,15,21,901.365757558822,21,1645,1445,3085,21,1122.5,362.5,157.5,457.5,862.5,0,27.5,2992.5,0.297153546447963
"22",22,"Huntsville T",2860,1960,2305,2330,2520,3800,4955,20730,22,43600,3633.33333333333,22,1167.5,1792.5,630,530,287.5,22,1062.5,1520,385,100,1167.5,170,22,3962.5,15,427.5,370,47.5,10,22,1211.129979277,22,3915,3160,7070,22,3522.5,55,72.5,152.5,502.5,40,57.5,4410,0.333338526406514
"23",23,"Ingersoll",2500,1530,1730,1780,1760,2025,2220,13545,23,48000,4000,23,687.5,992.5,442.5,385,227.5,23,815,805,307.5,45,687.5,80,23,2445,5,282.5,242.5,25,15,23,1257.69017990241,23,2750,1420,4170,23,1947.5,207.5,185,45,312.5,32.5,5,2732.5,0.314422544975602
"24",24,"Kawartha Lakes",10530,6950,8040,7905,8585,13965,21260,77230,24,42400,3533.33333333333,24,4195,6857.5,2290,1877.5,1137.5,24,3882.5,5940,1427.5,407.5,4195,507.5,24,14675,27.5,1647.5,1540,95,12.5,24,1197.54869174358,24,14230,12070,26305,24,13700,267.5,327.5,437.5,1112.5,362.5,150,16352.5,0.338928875021768
"25",25,"Kenora",2290,1455,1980,1675,1855,2340,3015,14610,25,48000,4000,25,1065,1167.5,452.5,380,185,25,737.5,952.5,337.5,50,1065,112.5,25,3055,15,182.5,145,25,10,25,1188.09426353769,25,2875,1910,4780,25,2507.5,87.5,45,120,357.5,85,50,3255,0.297023565884423
"26",26,"Kincardine MU",2145,1080,1365,1590,1210,1930,2740,12060,26,47600,3966.66666666667,26,757.5,997.5,315,327.5,185,26,677.5,865,192.5,35,757.5,50,26,2235,15,327.5,277.5,35,12.5,26,1283.61938219636,26,1975,1965,3940,26,2067.5,70,180,25,207.5,0,22.5,2580,0.323601524923452
"27",27,"Kingston",24810,20770,23105,20375,19660,24405,34945,168075,27,48800,4066.66666666667,27,11092.5,13835,5232.5,4405,2192.5,27,8612.5,10800,3590,502.5,11092.5,2157.5,27,30892.5,690,5170,4062.5,687.5,417.5,27,1347.60308052285,27,26585,19245,45825,27,20827.5,2362.5,2315,1122.5,4977.5,4932.5,215,36752.5,0.331377806685947
