"","Municipality","Non.Immigrant","Non.Permanent.Resident","Immigrant","Landed.Before.2006","Landed.2006.to.2015","Recent.Immigrants..Landed.2016.2021."
"1","Barrie",30715,427.5,8127.5,6205,1315,600
"2","Belleville - Quinte West",20647.5,142.5,2315,1935,240,142.5
"3","Bracebridge T",3260,17.5,342.5,322.5,5,10
"4","Brantford",22922.5,195,4882.5,3905,680,295
"5","Brighton MU",2085,0,420,392.5,20,5
"6","Brock TP",2130,0,257.5,232.5,20,0
"7","Brockville",6432.5,15,770,652.5,77.5,42.5
"8","Centre Wellington",5110,10,862.5,765,65,30
"9","Chatham-Kent",19587.5,72.5,2407.5,2020,240,140
"10","Cobourg",3822.5,5,742.5,690,20,27.5
"11","Collingwood",4687.5,15,882.5,785,67.5,35
"12","Cornwall",12205,102.5,1090,832.5,162.5,100
"13","Elliot Lake",2530,0,390,375,12.5,0
"14","Erin T",1640,0,467.5,440,22.5,5
"15","Gravenhurst T",2470,0,272.5,257.5,15,0
"16","Greater Napanee T",3187.5,0,247.5,225,10,12.5
"17","Greater Sudbury / Grand Sudbury",33385,570,2705,2045,387.5,270
"18","Guelph",23270,397.5,8422.5,6085,1432.5,900
"19","Haldimand County CY",8242.5,20,1095,950,115,32.5
"20","Hamilton",103977.5,2432.5,47280,36642.5,6812.5,3827.5
"21","Hawkesbury",2832.5,7.5,152.5,102.5,30,15
"22","Huntsville T",3962.5,15,427.5,370,47.5,10
"23","Ingersoll",2445,5,282.5,242.5,25,15
"24","Kawartha Lakes",14675,27.5,1647.5,1540,95,12.5
"25","Kenora",3055,15,182.5,145,25,10
"26","Kincardine MU",2235,15,327.5,277.5,35,12.5
"27","Kingston",30892.5,690,5170,4062.5,687.5,417.5
"28","Kitchener - Cambridge - Waterloo",72702.5,3727.5,33095,22927.5,5897.5,4275
"29","Lambton Shores MU",2350,0,300,282.5,10,0
"30","London",80862.5,3280,26977.5,19167.5,4725,3080
"31","Meaford MU",2200,0,317.5,290,20,5
"32","Midland",5317.5,10,585,515,55,15
"33","Norfolk",11895,45,1857.5,1660,155,45
"34","North Bay",14650,92.5,850,707.5,102.5,45
"35","North Perth MU",2552.5,27.5,395,277.5,85,37.5
"36","Orillia",6352.5,25,835,715,85,35
"37","Oshawa",52945,525,21055,16042.5,3307.5,1700
"38","Ottawa",159640,5275,61875,42962.5,11395,7515
"39","Owen Sound",6572.5,12.5,610,520,45,40
"40","Pembroke",4852.5,5,270,232.5,22.5,15
"41","Petawawa",3130,15,235,162.5,57.5,12.5
"42","Peterborough",23605,230,2817.5,2370,285,162.5
"43","Port Hope",3155,5,497.5,472.5,15,5
"44","Prince Edward County CY",4975,10,682.5,635,25,22.5
"45","Sarnia",18302.5,185,2740,2395,227.5,122.5
"46","Saugeen Shores T",2972.5,12.5,465,370,52.5,37.5
"47","Sault Ste. Marie",15262.5,140,1722.5,1545,115,65
"48","Scugog TP",3555,0,567.5,520,30,22.5
"49","South Dundas MU",2145,0,177.5,155,15,7.5
"50","South Huron MU",1937.5,10,222.5,210,5,5
"51","St. Catharines - Niagara",68577.5,1207.5,19825,16237.5,2307.5,1280
"52","Stratford",6372.5,45,955,817.5,87.5,47.5
"53","The Nation / La Nation M",2410,7.5,135,110,12.5,5
"54","Thunder Bay",23840,437.5,2800,2357.5,272.5,170
"55","Tillsonburg",3480,0,632.5,560,60,10
"56","Timmins",8475,112.5,362.5,262.5,55,42.5
"57","Toronto",440020,39745,651460,472857.5,116172.5,62432.5
"58","Trent Hills MU",2610,0,342.5,312.5,22.5,5
"59","Wasaga Beach",4217.5,12.5,1175,1117.5,42.5,15
"60","West Grey MU",2350,0,292.5,265,25,5
"61","West Nipissing / Nipissing Ouest M",3125,0,80,65,5,7.5
"62","Windsor",59192.5,1380,22262.5,16605,3545,2112.5
"63","Woodstock",7715,42.5,1690,1240,302.5,147.5
