"","Municipality","Estimated_Monthly_Shelter_Cost"
"1","Barrie",1607.59616871111
"2","Belleville - Quinte West",1170.81153722025
"3","Bracebridge T",1283.08903661726
"4","Brantford",1314.24975415108
"5","Brighton MU",1159.72691812904
"6","Brock TP",1341.40884103403
"7","Brockville",1049.60964895192
"8","Centre Wellington",1425.84492601614
"9","Chatham-Kent",961.711590568947
"10","Cobourg",1288.26860875322
"11","Collingwood",1445.55298724264
"12","Cornwall",1002.39260017328
"13","Elliot Lake",776.502929960575
"14","Erin T",1497.50896934116
"15","Gravenhurst T",1153.5134180791
"16","Greater Napanee T",1185.508721398
"17","Greater Sudbury / Grand Sudbury",1185.97419222098
"18","Guelph",1501.45883750671
"19","Haldimand County CY",1252.97502726511
"20","Hamilton",1437.76388779403
"21","Hawkesbury",901.365757558822
"22","Huntsville T",1211.129979277
"23","Ingersoll",1257.69017990241
"24","Kawartha Lakes",1197.54869174358
"25","Kenora",1188.09426353769
"26","Kincardine MU",1283.61938219636
"27","Kingston",1347.60308052285
"28","Kitchener - Cambridge - Waterloo",1449.64065214197
"29","Lambton Shores MU",992.238145258103
"30","London",1282.73215210184
"31","Meaford MU",1123.77792825571
"32","Midland",1158.24699922032
"33","Norfolk",1103.02607275149
"34","North Bay",1142.3151794087
"35","North Perth MU",1205.81925643102
"36","Orillia",1303.89866508695
"37","Oshawa",1577.62279255599
"38","Ottawa",1491.08963675269
"39","Owen Sound",1084.89119811429
"40","Pembroke",1068.61571845515
"41","Petawawa",1203.36643407971
"42","Peterborough",1261.0716030573
"43","Port Hope",1312.29556401927
"44","Prince Edward County CY",1174.88433029602
"45","Sarnia",1102.28192849789
"46","Saugeen Shores T",1328.17512272219
"47","Sault Ste. Marie",997.640663544183
"48","Scugog TP",1416.63303853614
"49","South Dundas MU",998.569749216301
"50","South Huron MU",1047.28260869565
"51","St. Catharines - Niagara",1243.42383472323
"52","Stratford",1207.65836923895
"53","The Nation / La Nation M",1315.78965965626
"54","Thunder Bay",1080.00090365405
"55","Tillsonburg",1148.11517549526
"56","Timmins",1116.907352567
"57","Toronto",1668.13225102422
"58","Trent Hills MU",1075.24815733916
"59","Wasaga Beach",1308.42030011034
"60","West Grey MU",1015.38870944061
"61","West Nipissing / Nipissing Ouest M",1047.40754740755
"62","Windsor",1157.23879708427
"63","Woodstock",1326.84015472089
