"","Municipality","With.a.Mortgage","Without.a.Mortgage","Total.Private.Households.With.Mortgage.Status.Known"
"1","Barrie",39125,18285,57410
"2","Belleville - Quinte West",18300,13410,31715
"3","Bracebridge T",3175,2560,5735
"4","Brantford",24900,14720,39615
"5","Brighton MU",1995,2245,4240
"6","Brock TP",2330,1465,3795
"7","Brockville",4900,4485,9390
"8","Centre Wellington",5445,3945,9390
"9","Chatham-Kent",16460,14205,30665
"10","Cobourg",2965,3300,6270
"11","Collingwood",4160,3970,8125
"12","Cornwall",8940,7190,16130
"13","Elliot Lake",1640,1905,3545
"14","Erin T",2310,1340,3650
"15","Gravenhurst T",2180,2140,4320
"16","Greater Napanee T",2755,2070,4830
"17","Greater Sudbury / Grand Sudbury",28025,19560,47580
"18","Guelph",27210,16730,43945
"19","Haldimand County CY",9445,5925,15370
"20","Hamilton",126655,83620,210270
"21","Hawkesbury",1645,1445,3085
"22","Huntsville T",3915,3160,7070
"23","Ingersoll",2750,1420,4170
"24","Kawartha Lakes",14230,12070,26305
"25","Kenora",2875,1910,4780
"26","Kincardine MU",1975,1965,3940
"27","Kingston",26585,19245,45825
"28","Kitchener - Cambridge - Waterloo",88870,52210,141085
"29","Lambton Shores MU",1865,2305,4165
"30","London",83215,54635,137850
"31","Meaford MU",1855,2010,3865
"32","Midland",4435,3730,8165
"33","Norfolk",11420,10440,21860
"34","North Bay",12435,8380,20810
"35","North Perth MU",2225,1640,3870
"36","Orillia",4930,3895,8825
"37","Oshawa",75410,36015,111425
"38","Ottawa",179600,117455,297050
"39","Owen Sound",5120,4630,9750
"40","Pembroke",3860,3110,6970
"41","Petawawa",2970,1360,4335
"42","Peterborough",19865,16700,36565
"43","Port Hope",3180,2475,5650
"44","Prince Edward County CY",4100,4870,8975
"45","Sarnia",15885,14335,30220
"46","Saugeen Shores T",2940,2565,5510
"47","Sault Ste. Marie",12800,10965,23765
"48","Scugog TP",3890,3065,6955
"49","South Dundas MU",1910,1715,3625
"50","South Huron MU",1445,1570,3020
"51","St. Catharines - Niagara",71880,55400,127280
"52","Stratford",5370,4330,9695
"53","The Nation / La Nation M",2695,1325,4020
"54","Thunder Bay",20040,18000,38040
"55","Tillsonburg",2985,2825,5805
"56","Timmins",7385,4570,11950
"57","Toronto",908175,563705,1471880
"58","Trent Hills MU",2335,2320,4655
"59","Wasaga Beach",4720,4515,9235
"60","West Grey MU",2090,2085,4170
"61","West Nipissing / Nipissing Ouest M",2420,1865,4290
"62","Windsor",68150,50975,119125
"63","Woodstock",8045,4245,12290
