"","Date","Vacancy_Rate","Availability_Rate","Average_Rent","Median_Rent","Change","Units","Year","Month"
"1",1990-10-01,1.4,NA,576,550,NA,646833,"1990","October"
"2",1991-10-01,2.2,NA,609,575,5.6,655307,"1991","October"
"3",1992-10-01,2.6,NA,630,600,4.2,652205,"1992","October"
"4",1993-10-01,2.8,NA,647,622,3.3,651275,"1993","October"
"5",1994-10-01,2.4,NA,659,637,2.2,652917,"1994","October"
"6",1995-10-01,2.4,NA,672,650,2.4,651170,"1995","October"
"7",1996-10-01,3.1,NA,681,654,1.7,647960,"1996","October"
"8",1997-10-01,2.9,NA,685,660,1.5,650832,"1997","October"
"9",1998-10-01,2.6,NA,718,695,4.4,649449,"1998","October"
"10",1999-10-01,2.1,NA,742,715,3.6,647974,"1999","October"
"11",2000-10-01,1.7,NA,790,755,6.7,647094,"2000","October"
"12",2001-10-01,1.7,NA,820,790,4.7,647905,"2001","October"
"13",2002-10-01,2.7,NA,842,814,2.8,646838,"2002","October"
"14",2003-10-01,3.5,NA,842,824,1.3,650524,"2003","October"
"15",2004-10-01,4.1,NA,852,825,0.7,657297,"2004","October"
"16",2005-10-01,3.8,5.8,858,825,0.8,655893,"2005","October"
"17",2006-10-01,3.4,5.3,871,840,1.4,659042,"2006","October"
"18",2007-10-01,3.4,5.1,878,850,1.7,658132,"2007","October"
"19",2008-10-01,2.7,4.4,901,855,1.9,658046,"2008","October"
"20",2009-10-01,3.6,5.6,906,865,2,660737,"2009","October"
"21",2010-10-01,2.9,4.8,930,892,1.8,659347,"2010","October"
"22",2011-10-01,2.2,3.9,952,905,1.8,662434,"2011","October"
"23",2012-10-01,2.5,4.2,981,935,2.8,663400,"2012","October"
"24",2013-10-01,2.6,4.3,1007,954,2.7,662900,"2013","October"
"25",2014-10-01,2.3,3.8,1031,978,2.1,664519,"2014","October"
"26",2015-10-01,2.5,4.1,1066,1009,3,667928,"2015","October"
"27",2016-10-01,2.2,3.7,1095,1040,3,672837,"2016","October"
"28",2017-10-01,1.6,2.9,1146,1095,3.8,682053,"2017","October"
"29",2018-10-01,1.8,NA,1203,1137,4.8,689320,"2018","October"
"30",2019-10-01,2,NA,1277,1200,6.1,693515,"2019","October"
"31",2020-10-01,3.2,NA,1347,1278,4.9,703962,"2020","October"
"32",2021-10-01,3.4,NA,1395,1330,2.8,709341,"2021","October"
"33",2022-10-01,1.8,NA,1474,1400,6,724435,"2022","October"
"34",2023-10-01,1.7,NA,1609,1500,8.1,717887,"2023","October"
"35",2024-10-01,2.7,NA,1666,1580,4,743904,"2024","October"
"36",2025-10-01,3.2,NA,1730,1670,3.8,754038,"2025","October"
