"","Municipality","Single.Detached","Semi.Detached","Row","Duplex","Low.Rise.Apt.","High.Rise.Apt.","Other","Total_structure"
"1","Barrie",26702.5,1257.5,3562.5,2022.5,3450,2215,60,39270
"2","Belleville - Quinte West",15895,780,1160,515,3175,1320,262.5,23107.5
"3","Bracebridge T",2735,92.5,220,120,352.5,55,42.5,3620
"4","Brantford",18417.5,1462.5,2392.5,865,2512.5,2275,75,28000
"5","Brighton MU",2205,47.5,55,42.5,105,17.5,30,2507.5
"6","Brock TP",2075,40,60,12.5,205,0,0,2392.5
"7","Brockville",4330,492.5,437.5,62.5,1500,340,57.5,7220
"8","Centre Wellington",4345,302.5,352.5,90,787.5,52.5,57.5,5987.5
"9","Chatham-Kent",16777.5,717.5,775,355,2540,767.5,135,22065
"10","Cobourg",2627.5,202.5,562.5,82.5,892.5,180,17.5,4565
"11","Collingwood",3152.5,395,680,117.5,1005,237.5,12.5,5587.5
"12","Cornwall",7700,1147.5,625,895,2332.5,575,122.5,13400
"13","Elliot Lake",1315,550,292.5,35,440,287.5,0,2920
"14","Erin T",1930,12.5,0,37.5,60,0,67.5,2110
"15","Gravenhurst T",2157.5,37.5,80,37.5,295,37.5,107.5,2750
"16","Greater Napanee T",2530,152.5,132.5,20,587.5,0,7.5,3435
"17","Greater Sudbury / Grand Sudbury",22485,1710,1507.5,2140,6052.5,2392.5,365,36660
"18","Guelph",17162.5,1352.5,4500,1790,3977.5,3257.5,52.5,32085
"19","Haldimand County CY",7897.5,292.5,340,157.5,607.5,27.5,40,9357.5
"20","Hamilton",84605,5082.5,21985,4040,12787.5,24825,370,153690
"21","Hawkesbury",1122.5,362.5,157.5,457.5,862.5,0,27.5,2992.5
"22","Huntsville T",3522.5,55,72.5,152.5,502.5,40,57.5,4410
"23","Ingersoll",1947.5,207.5,185,45,312.5,32.5,5,2732.5
"24","Kawartha Lakes",13700,267.5,327.5,437.5,1112.5,362.5,150,16352.5
"25","Kenora",2507.5,87.5,45,120,357.5,85,50,3255
"26","Kincardine MU",2067.5,70,180,25,207.5,0,22.5,2580
"27","Kingston",20827.5,2362.5,2315,1122.5,4977.5,4932.5,215,36752.5
"28","Kitchener - Cambridge - Waterloo",58025,6545,12822.5,3017.5,14517.5,14322.5,272.5,109527.5
"29","Lambton Shores MU",2225,22.5,90,20,225,0,62.5,2652.5
"30","London",61120,4162.5,12500,2497.5,11235,19175,430,111120
"31","Meaford MU",2047.5,17.5,165,32.5,252.5,0,0,2517.5
"32","Midland",3902.5,222.5,277.5,382.5,812.5,265,50,5912.5
"33","Norfolk",11405,400,485,270,942.5,195,102.5,13797.5
"34","North Bay",9272.5,1185,1002.5,807.5,2160,1040,125,15592.5
"35","North Perth MU",2092.5,132.5,155,55,477.5,0,67.5,2977.5
"36","Orillia",4015,157.5,627.5,470,1380,460,97.5,7210
"37","Oshawa",48610,3962.5,7877.5,2630,5600,5705,132.5,74525
"38","Ottawa",102255,12092.5,45127.5,4115,23752.5,38582.5,865,226787.5
"39","Owen Sound",4617.5,245,360,125,1382.5,365,100,7192.5
"40","Pembroke",3620,280,175,110,922.5,0,22.5,5130
"41","Petawawa",2380,250,400,20,317.5,0,10,3380
"42","Peterborough",18427.5,422.5,1622.5,1355,3387.5,1297.5,137.5,26652.5
"43","Port Hope",2642.5,137.5,212.5,40,395,222.5,0,3657.5
"44","Prince Edward County CY",4867.5,120,175,15,395,5,85,5665
"45","Sarnia",15427.5,690,1062.5,387.5,1597.5,1997.5,65,21227.5
"46","Saugeen Shores T",2582.5,170,235,22.5,405,0,37.5,3452.5
"47","Sault Ste. Marie",11420,940,467.5,695,2480,1027.5,97.5,17130
"48","Scugog TP",3685,82.5,40,57.5,222.5,22.5,10,4122.5
"49","South Dundas MU",1865,165,107.5,15,122.5,15,37.5,2327.5
"50","South Huron MU",1695,52.5,172.5,7.5,210,0,30,2167.5
"51","St. Catharines - Niagara",59097.5,5000,6245,3135,10490,5225,422.5,89610
"52","Stratford",3900,790,447.5,332.5,1475,407.5,12.5,7370
"53","The Nation / La Nation M",2117.5,120,45,55,205,0,12.5,2552.5
"54","Thunder Bay",18550,1082.5,717.5,1200,3962.5,1292.5,272.5,27072.5
"55","Tillsonburg",2787.5,152.5,252.5,95,567.5,247.5,12.5,4115
"56","Timmins",5822.5,630,302.5,525,1225,255,175,8945
"57","Toronto",441495,83180,105452.5,44047.5,107675,347365,2012.5,1131227.5
"58","Trent Hills MU",2605,32.5,67.5,47.5,185,5,17.5,2952.5
"59","Wasaga Beach",4467.5,130,447.5,72.5,260,0,27.5,5407.5
"60","West Grey MU",2320,35,55,22.5,145,0,65,2642.5
"61","West Nipissing / Nipissing Ouest M",2375,110,45,175,452.5,0,47.5,3205
"62","Windsor",57682.5,3790,4667.5,2275,6930,7055,432.5,82837.5
"63","Woodstock",5427.5,715,1097.5,210,1140,840,17.5,9442.5
