"","Municipal","Median","Average","Units","Type","Status"
"1","Barrie",615000,813955,22,"Single","Unabsorbed"
"2","Belleville",NA,NA,4,"Single","Unabsorbed"
"3","Brantford",680000,739286,31,"Single","Unabsorbed"
"4","Chatham-Kent",NA,NA,0,"Single","Unabsorbed"
"5","Cornwall",NA,NA,4,"Single","Unabsorbed"
"6","Greater Sudbury / Grand Sudbury",NA,NA,4,"Single","Unabsorbed"
"7","Guelph",832500,1002464,10,"Single","Unabsorbed"
"8","Hamilton",750000,748595,31,"Single","Unabsorbed"
"9","Kawartha Lakes",NA,NA,0,"Single","Unabsorbed"
"10","Kingston",NA,554341,9,"Single","Unabsorbed"
"11","Kitchener - Cambridge - Waterloo",710000,740796,69,"Single","Unabsorbed"
"12","London",682500,706002,270,"Single","Unabsorbed"
"13","Norfolk",NA,487400,7,"Single","Unabsorbed"
"14","North Bay",NA,NA,0,"Single","Unabsorbed"
"15","Oshawa",470000,530553,10,"Single","Unabsorbed"
"16","Ottawa",610000,642298,111,"Single","Unabsorbed"
"17","Peterborough",NA,438360,5,"Single","Unabsorbed"
"18","Sarnia",NA,641061,9,"Single","Unabsorbed"
"19","Sault Ste. Marie",NA,NA,2,"Single","Unabsorbed"
"20","St. Catharines - Niagara",755000,778609,19,"Single","Unabsorbed"
"21","Thunder Bay",NA,605100,7,"Single","Unabsorbed"
"22","Toronto",2e+06,1974564,367,"Single","Unabsorbed"
"23","Windsor",670000,797516,12,"Single","Unabsorbed"
