"","Municipal","Median","Average","Units","Type","Status"
"1","Barrie",NA,NA,0,"Semi_Detached","Unabsorbed"
"2","Belleville",NA,NA,2,"Semi_Detached","Unabsorbed"
"3","Brantford",NA,NA,0,"Semi_Detached","Unabsorbed"
"4","Chatham-Kent",NA,NA,0,"Semi_Detached","Unabsorbed"
"5","Cornwall",NA,NA,2,"Semi_Detached","Unabsorbed"
"6","Greater Sudbury / Grand Sudbury",NA,441820,10,"Semi_Detached","Unabsorbed"
"7","Guelph",NA,608400,10,"Semi_Detached","Unabsorbed"
"8","Hamilton",NA,NA,0,"Semi_Detached","Unabsorbed"
"9","Kawartha Lakes",NA,NA,0,"Semi_Detached","Unabsorbed"
"10","Kingston",NA,364900,4,"Semi_Detached","Unabsorbed"
"11","Kitchener - Cambridge - Waterloo",NA,NA,5,"Semi_Detached","Unabsorbed"
"12","London",NA,325000,8,"Semi_Detached","Unabsorbed"
"13","Norfolk",NA,NA,2,"Semi_Detached","Unabsorbed"
"14","North Bay",NA,NA,0,"Semi_Detached","Unabsorbed"
"15","Oshawa",NA,NA,2,"Semi_Detached","Unabsorbed"
"16","Ottawa",525000,776080,16,"Semi_Detached","Unabsorbed"
"17","Peterborough",NA,NA,0,"Semi_Detached","Unabsorbed"
"18","Sarnia",NA,NA,2,"Semi_Detached","Unabsorbed"
"19","Sault Ste. Marie",NA,NA,0,"Semi_Detached","Unabsorbed"
"20","St. Catharines - Niagara",NA,NA,2,"Semi_Detached","Unabsorbed"
"21","Thunder Bay",NA,NA,0,"Semi_Detached","Unabsorbed"
"22","Toronto",1227500,1676363,22,"Semi_Detached","Unabsorbed"
"23","Windsor",NA,NA,2,"Semi_Detached","Unabsorbed"
