"Ontario — Average, Median and Price Percentiles for Absorbed Homeowner and Condominium Units (in Census Metropolitan Areas and Census Agglomerations with at least 50,000 people)",,,,,,,
July 2021 Single,,,,,,,
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units
Barrie,"630,000","695,000","730,000","765,000","705,000","902,077",39
Belleville,"282,000","310,000","322,000","363,000","320,000","324,378",23
Brantford,"631,000","692,000","798,000","894,000","760,000","792,580",55
Chatham-Kent,"389,000","395,000","404,000","450,000","397,500","424,219",16
Cornwall,**,**,**,**,**,"581,250",4
Greater Sudbury / Grand Sudbury,**,**,**,**,**,"594,288",8
Guelph,"740,000","815,000","910,000","1,195,000","845,000","979,756",14
Hamilton,"500,000","688,000","850,000","1,600,000","740,000","1,149,253",61
Kawartha Lakes,"526,000","544,000","581,000","666,000","570,000","586,564",10
Kingston,"491,000","566,000","659,000","676,000","655,000","606,989",22
Kitchener - Cambridge - Waterloo,"700,000","782,000","800,000","947,000","800,000","827,083",97
London,"650,000","750,000","800,000","950,000","750,000","807,942",253
Norfolk,"496,000","516,000","654,000","836,000","562,500","591,203",10
North Bay,**,**,**,**,**,**,1
Oshawa,"720,000","780,000","870,000","930,000","840,000","836,403",144
Ottawa,"600,000","719,000","805,000","886,000","775,000","751,726",223
Peterborough,"559,000","579,000","598,000","610,000","590,000","581,706",15
Sarnia,"512,000","702,000","723,000","799,000","712,500","697,055",20
Sault Ste. Marie,**,**,**,**,**,**,3
St. Catharines - Niagara,"680,000","720,000","760,000","854,000","740,000","783,749",107
Thunder Bay,**,**,**,**,**,**,2
Toronto,"905,000","1,130,000","1,585,000","2,000,000","1,350,000","1,499,711",314
Windsor,"470,000","575,000","705,000","910,000","635,000","726,132",64
Ontario,"650,000","750,000","850,000","1,070,000","800,000","935,954","1,505"
