"Ontario — Average, Median and Price Percentiles for Absorbed Homeowner and Condominium Units (in Census Metropolitan Areas and Census Agglomerations with at least 50,000 people)",,,,,,,
July 2021 Semi-detached,,,,,,,
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units
Barrie,**,**,**,**,**,**,0
Belleville,**,**,**,**,**,"281,900",8
Brantford,**,**,**,**,**,**,3
Chatham-Kent,**,**,**,**,**,**,0
Cornwall,**,**,**,**,**,**,0
Greater Sudbury / Grand Sudbury,**,**,**,**,**,"499,771",7
Guelph,**,**,**,**,**,**,2
Hamilton,**,**,**,**,**,"1,016,189",12
Kawartha Lakes,**,**,**,**,**,**,0
Kingston,**,**,**,**,**,**,3
Kitchener - Cambridge - Waterloo,**,**,**,**,**,**,1
London,**,**,**,**,**,"516,371",17
Norfolk,**,**,**,**,**,**,1
North Bay,**,**,**,**,**,**,0
Oshawa,**,**,**,**,**,"621,278",18
Ottawa,**,**,**,**,**,"589,920",10
Peterborough,**,**,**,**,**,**,0
Sarnia,**,**,**,**,**,**,0
Sault Ste. Marie,**,**,**,**,**,**,0
St. Catharines - Niagara,**,**,**,**,**,**,4
Thunder Bay,**,**,**,**,**,**,0
Toronto,"705,000","718,000","872,000","1,035,000","775,000","923,171",50
Windsor,**,**,**,**,**,**,4
Ontario,"500,000","615,000","710,000","900,000","680,000","722,408",140
