Ontario — Age of Population (All Age Groups)  ,,,,,,,,
2021,,,,,,,,
,0_14,15_24,25_34,35_44,45_54,55_64,Total 65,Total
Barrie,"36,145","26,365","28,780","28,335","28,310","29,845","32,370","210,155"
Belleville - Quinte West,"17,250","11,225","13,490","12,940","12,620","17,835","23,885","109,250"
Bracebridge T,"2,305","1,575","1,750","1,835","1,955","2,915","4,430","16,765"
Brantford,"24,650","16,455","18,265","18,440","17,715","20,195","26,185","141,905"
Brighton MU,"1,360","1,010",900,"1,005","1,195","2,145","3,875","11,495"
Brock TP,"2,125","1,105","1,600","1,565","1,330","2,020","2,565","12,305"
Brockville,"3,945","3,150","3,190","3,060","3,690","5,420","8,435","30,880"
Centre Wellington,"5,335","3,245","3,480","3,680","3,775","4,575","6,555","30,645"
Chatham-Kent,"16,610","11,275","10,995","11,525","12,060","16,560","23,075","102,090"
Cobourg,"2,540","1,775","1,955","2,035","2,010","3,155","6,310","19,780"
Collingwood,"3,295","2,235","2,540","2,630","2,740","3,825","7,005","24,275"
Cornwall,"9,635","6,030","7,220","6,575","6,755","9,660","13,880","59,750"
Elliot Lake,"1,175",725,875,930,"1,010","2,105","4,410","11,225"
Erin T,"1,815","1,425","1,165","1,315","1,890","2,260","2,080","11,950"
Gravenhurst T,"1,500","1,000","1,195","1,255","1,340","2,295","3,540","12,130"
Greater Napanee T,"2,280","1,500","1,695","1,685","1,950","2,705","4,145","15,960"
Greater Sudbury / Grand Sudbury,"26,305","19,540","21,385","20,735","21,375","25,705","32,575","167,620"
Guelph,"26,900","21,465","23,915","22,020","21,370","21,535","26,280","163,485"
Haldimand County CY,"8,625","5,235","5,765","5,685","5,785","7,850","9,620","48,565"
Hamilton,"125,670","91,695","104,275","101,965","100,550","108,170","141,120","773,440"
Hawkesbury,"1,485","1,025","1,125","1,130","1,430","2,020","3,425","11,640"
Huntsville T,"2,860","1,960","2,305","2,330","2,520","3,800","4,955","20,730"
Ingersoll,"2,500","1,530","1,730","1,780","1,760","2,025","2,220","13,545"
Kawartha Lakes,"10,530","6,950","8,040","7,905","8,585","13,965","21,260","77,230"
Kenora,"2,290","1,455","1,980","1,675","1,855","2,340","3,015","14,610"
Kincardine MU,"2,145","1,080","1,365","1,590","1,210","1,930","2,740","12,060"
Kingston,"24,810","20,770","23,105","20,375","19,660","24,405","34,945","168,075"
Kitchener - Cambridge - Waterloo,"98,465","75,790","87,920","77,850","72,400","71,015","84,620","568,065"
Lambton Shores MU,"1,450",960,945,965,"1,195","2,315","3,710","11,545"
London,"89,595","67,705","76,950","69,220","65,015","72,465","94,820","535,780"
Meaford MU,"1,515",870,"1,025","1,135","1,195","2,030","3,540","11,315"
Midland,"3,480","2,390","3,045","2,715","3,000","4,610","7,120","26,365"
Norfolk,"10,245","6,560","6,985","6,995","7,505","11,190","16,750","66,225"
North Bay,"10,380","7,705","8,520","8,325","8,475","11,680","15,090","70,175"
North Perth MU,"3,285","1,735","2,185","1,885","1,555","1,975","2,790","15,410"
Orillia,"4,645","3,300","4,415","3,620","3,570","4,930","7,795","32,270"
Oshawa,"76,775","49,590","54,010","58,010","55,015","55,490","62,515","411,405"
Ottawa,"186,910","141,735","155,870","149,060","147,520","152,835","182,865","1,116,800"
Owen Sound,"4,660","3,170","3,610","3,595","3,505","5,280","8,060","31,870"
Pembroke,"3,565","2,385","2,910","2,725","2,630","3,740","5,125","23,085"
Petawawa,"3,925","1,880","3,765","2,680","1,730","1,610","1,715","17,295"
Peterborough,"18,900","14,205","15,945","14,595","13,885","19,005","29,455","125,995"
Port Hope,"2,210","1,535","1,875","1,860","1,965","2,925","4,510","16,890"
Prince Edward County CY,"2,965","1,770","2,155","2,495","2,720","4,815","8,275","25,190"
Sarnia,"14,835","9,970","11,850","11,100","10,930","14,970","22,625","96,285"
Saugeen Shores T,"2,530","1,215","2,000","1,945","1,515","2,490","3,950","15,640"
Sault Ste. Marie,"11,030","8,000","8,870","8,615","8,790","12,225","17,895","75,420"
Scugog TP,"3,020","2,315","2,130","2,340","2,570","3,900","5,010","21,280"
South Dundas MU,"1,660",950,"1,110","1,035","1,330","1,945","2,920","10,940"
South Huron MU,"1,515",890,"1,060","1,030",985,"1,570","2,800","9,855"
St. Catharines - Niagara,"62,715","47,295","52,160","48,255","52,305","65,970","96,775","425,480"
Stratford,"4,760","3,340","3,930","3,985","3,970","5,115","7,380","32,485"
The Nation / La Nation M,"2,420","1,335","1,845","1,715","1,775","2,120","1,950","13,155"
Thunder Bay,"17,635","14,025","16,295","13,820","14,720","18,855","25,625","120,960"
Tillsonburg,"2,625","1,850","1,990","1,975","1,990","2,660","5,200","18,295"
Timmins,"6,650","4,785","5,535","5,045","5,205","6,285","6,805","40,310"
Toronto,"963,745","772,540","929,585","854,935","841,775","814,545","965,755","6,142,880"
Trent Hills MU,"1,720","1,150","1,245","1,265","1,510","2,615","4,110","13,610"
Wasaga Beach,"2,900","1,880","2,120","2,400","2,550","4,250","8,495","24,585"
West Grey MU,"2,070","1,315","1,220","1,315","1,550","2,315","3,205","12,995"
West Nipissing / Nipissing Ouest M,"2,085","1,315","1,270","1,470","1,830","2,645","3,645","14,255"
Windsor,"68,735","52,960","52,365","48,850","54,920","60,425","77,255","415,505"
Woodstock,"8,225","4,935","6,405","6,340","5,315","6,160","8,565","45,950"
Ontario,"2,248,935","1,687,895","1,944,565","1,826,860","1,823,765","1,989,460","2,510,275","14,031,755"
