"Ontario — Historical Completions by Dwelling Type (in Census Metropolitan Areas, Census Agglomerations, and other selected municipalities with at least 10,000 people)  ",,,,,
January 1990 to July 2026,,,,,
,Single,Semi-Detached,Row,Apartment,Total
1990 January,"3,392",157,789,"2,881","7,219"
1990 February,"2,909",150,367,"1,860","5,286"
1990 March,"3,033",140,703,"3,198","7,074"
1990 April,"2,802",142,562,"2,510","6,016"
1990 May,"2,575",183,352,"1,976","5,086"
1990 June,"2,750",146,728,"1,579","5,203"
1990 July,"2,751",188,881,"2,268","6,088"
1990 August,"2,820",244,477,"1,416","4,957"
1990 September,"3,060",197,617,"1,626","5,500"
1990 October,"2,671",253,"1,006","2,845","6,775"
1990 November,"2,490",192,926,"1,809","5,417"
1990 December,"2,058",157,983,"1,548","4,746"
1991 January,"2,742",236,826,"3,364","7,168"
1991 February,"1,453",156,506,"1,712","3,827"
1991 March,"1,130",77,572,"1,814","3,593"
1991 April,"1,192",110,575,"1,845","3,722"
1991 May,"1,211",148,433,"2,465","4,257"
1991 June,"1,345",125,516,"2,162","4,148"
1991 July,"1,592",145,410,"1,554","3,701"
1991 August,"1,973",164,685,"1,522","4,344"
1991 September,"2,361",186,355,"1,615","4,517"
1991 October,"2,715",154,857,"2,226","5,952"
1991 November,"2,484",170,819,842,"4,315"
1991 December,"2,182",143,761,"1,172","4,258"
1992 January,"2,110",117,995,"2,883","6,105"
1992 February,"1,711",176,962,896,"3,745"
1992 March,"1,483",87,651,856,"3,077"
1992 April,"1,341",106,518,766,"2,731"
1992 May,"1,442",94,"1,027","1,471","4,034"
1992 June,"2,086",142,727,"1,301","4,256"
1992 July,"2,035",191,740,"1,395","4,361"
1992 August,"2,785",210,"1,260","2,612","6,867"
1992 September,"2,806",374,597,863,"4,640"
1992 October,"2,642",250,"1,609","1,214","5,715"
1992 November,"2,173",274,838,987,"4,272"
1992 December,"2,150",270,"1,179","2,014","5,613"
1993 January,"2,123",216,537,"1,461","4,337"
1993 February,"1,500",164,225,615,"2,504"
1993 March,"1,388",178,704,985,"3,255"
1993 April,"1,478",204,539,700,"2,921"
1993 May,"1,472",148,374,549,"2,543"
1993 June,"1,676",153,453,"1,042","3,324"
1993 July,"1,942",210,646,"2,470","5,268"
1993 August,"2,482",174,416,"1,849","4,921"
1993 September,"2,335",266,"1,167","1,100","4,868"
1993 October,"2,162",246,467,722,"3,597"
1993 November,"1,910",224,889,309,"3,332"
1993 December,"1,773",232,554,904,"3,463"
1994 January,"1,708",200,560,483,"2,951"
1994 February,"1,258",182,499,783,"2,722"
1994 March,"1,204",126,558,752,"2,640"
1994 April,"1,343",172,520,569,"2,604"
1994 May,"1,615",184,416,379,"2,594"
1994 June,"1,765",192,417,571,"2,945"
1994 July,"2,365",342,759,784,"4,250"
1994 August,"2,499",350,624,"1,032","4,505"
1994 September,"2,733",383,695,666,"4,477"
1994 October,"2,778",372,878,"1,287","5,315"
1994 November,"2,395",282,617,"1,083","4,377"
1994 December,"2,283",318,694,766,"4,061"
1995 January,"1,575",188,495,"1,009","3,267"
1995 February,"1,347",204,514,388,"2,453"
1995 March,"1,425",160,243,93,"1,921"
1995 April,"1,335",137,394,706,"2,572"
1995 May,"1,172",162,432,484,"2,250"
1995 June,"1,439",236,519,530,"2,724"
1995 July,"1,682",172,316,808,"2,978"
1995 August,"1,868",202,913,473,"3,456"
1995 September,"1,671",211,416,704,"3,002"
1995 October,"1,802",218,663,182,"2,865"
1995 November,"1,389",206,340,337,"2,272"
1995 December,"1,564",208,367,538,"2,677"
1996 January,"1,361",234,409,714,"2,718"
1996 February,"1,132",150,419,623,"2,324"
1996 March,"1,161",132,313,661,"2,267"
1996 April,"1,062",146,485,464,"2,157"
1996 May,"1,077",198,450,641,"2,366"
1996 June,"1,460",190,526,555,"2,731"
1996 July,"1,949",216,551,276,"2,992"
1996 August,"2,163",232,582,556,"3,533"
1996 September,"2,813",336,445,226,"3,820"
1996 October,"2,265",384,831,"1,105","4,585"
1996 November,"2,334",312,601,371,"3,618"
1996 December,"1,988",298,944,776,"4,006"
1997 January,"1,884",263,557,486,"3,190"
1997 February,"1,556",294,598,113,"2,561"
1997 March,"1,676",260,698,312,"2,946"
1997 April,"1,958",286,968,"1,204","4,416"
1997 May,"1,869",324,929,440,"3,562"
1997 June,"2,108",265,766,333,"3,472"
1997 July,"2,806",358,700,334,"4,198"
1997 August,"3,004",340,828,223,"4,395"
1997 September,"3,414",402,615,356,"4,787"
1997 October,"2,964",314,885,730,"4,893"
1997 November,"2,841",400,790,274,"4,305"
1997 December,"2,696",344,822,726,"4,588"
1998 January,"2,489",462,764,267,"3,982"
1998 February,"2,175",228,858,280,"3,541"
1998 March,"1,969",384,809,500,"3,662"
1998 April,"2,239",262,745,287,"3,533"
1998 May,"1,968",260,981,243,"3,452"
1998 June,"2,132",278,925,573,"3,908"
1998 July,"2,047",232,667,80,"3,026"
1998 August,"2,511",308,696,16,"3,531"
1998 September,"2,832",264,920,125,"4,141"
1998 October,"2,436",346,587,57,"3,426"
1998 November,"2,737",334,555,108,"3,734"
1998 December,"2,692",348,962,477,"4,479"
1999 January,"2,231",270,667,87,"3,255"
1999 February,"2,515",444,647,914,"4,520"
1999 March,"2,516",400,997,"1,097","5,010"
1999 April,"2,331",380,617,166,"3,494"
1999 May,"2,466",366,610,314,"3,756"
1999 June,"2,803",662,"1,006",725,"5,196"
1999 July,"2,829",482,757,238,"4,306"
1999 August,"3,573",584,935,193,"5,285"
1999 September,"3,348",506,650,323,"4,827"
1999 October,"3,055",528,668,419,"4,670"
1999 November,"3,164",638,927,"1,664","6,393"
1999 December,"3,133",346,"1,112",531,"5,122"
2000 January,"2,529",578,715,144,"3,966"
2000 February,"2,228",549,936,"1,061","4,774"
2000 March,"2,725",506,852,928,"5,011"
2000 April,"2,214",408,864,164,"3,650"
2000 May,"2,517",506,"1,116",677,"4,816"
2000 June,"2,658",554,960,963,"5,135"
2000 July,"3,350",634,"1,045","2,094","7,123"
2000 August,"3,494",646,792,850,"5,782"
2000 September,"3,619",652,849,"1,158","6,278"
2000 October,"3,254",570,762,399,"4,985"
2000 November,"3,343",570,740,404,"5,057"
2000 December,"2,670",368,790,996,"4,824"
2001 January,"3,160",871,892,511,"5,434"
2001 February,"2,541",594,771,227,"4,133"
2001 March,"2,366",540,535,387,"3,828"
2001 April,"2,591",410,"1,052","1,151","5,204"
2001 May,"2,517",404,970,175,"4,066"
2001 June,"2,786",626,"1,053",411,"4,876"
2001 July,"3,120",512,981,831,"5,444"
2001 August,"4,448","1,050","1,419",657,"7,574"
2001 September,"3,911",884,"1,086","1,364","7,245"
2001 October,"4,308","1,022","1,065",327,"6,722"
2001 November,"3,301",718,"1,128","1,273","6,420"
2001 December,"3,257",520,708,80,"4,565"
2002 January,"2,882",420,746,"1,474","5,522"
2002 February,"2,793",512,696,"1,246","5,247"
2002 March,"3,173",605,755,"1,589","6,122"
2002 April,"2,746",674,831,904,"5,155"
2002 May,"3,290",560,814,916,"5,580"
2002 June,"3,192",626,"1,074",863,"5,755"
2002 July,"3,939",508,"1,274","1,490","7,211"
2002 August,"4,584",698,840,"1,272","7,394"
2002 September,"4,609",605,801,"1,024","7,039"
2002 October,"4,494",713,"1,082","1,033","7,322"
2002 November,"4,055",620,"1,075","1,704","7,454"
2002 December,"4,067",526,"1,051","2,448","8,092"
2003 January,"3,299",384,946,870,"5,499"
2003 February,"2,827",532,638,"1,077","5,074"
2003 March,"3,088",298,850,859,"5,095"
2003 April,"3,178",448,874,"1,805","6,305"
2003 May,"3,049",307,648,"1,430","5,434"
2003 June,"3,307",394,704,"1,066","5,471"
2003 July,"3,590",507,975,677,"5,749"
2003 August,"4,010",455,"1,037",832,"6,334"
2003 September,"3,827",565,768,"1,389","6,549"
2003 October,"4,424",575,"1,244","1,472","7,715"
2003 November,"4,032",559,868,391,"5,850"
2003 December,"4,021",560,"1,199","1,260","7,040"
2004 January,"3,621",488,788,"1,489","6,386"
2004 February,"2,985",380,742,586,"4,693"
2004 March,"3,046",526,813,829,"5,214"
2004 April,"3,016",447,"1,074","1,273","5,810"
2004 May,"3,100",598,"1,033","1,641","6,372"
2004 June,"3,270",386,"1,129","2,050","6,835"
2004 July,"4,206",541,"1,248",893,"6,888"
2004 August,"3,866",361,"1,090",760,"6,077"
2004 September,"4,184",585,"1,223","1,380","7,372"
2004 October,"4,325",400,"1,026","2,070","7,821"
2004 November,"4,425",634,"1,168","1,210","7,437"
2004 December,"3,839",440,"1,176",395,"5,850"
2005 January,"3,323",292,"1,064",965,"5,644"
2005 February,"3,187",339,741,"1,297","5,564"
2005 March,"3,044",454,772,"3,826","8,096"
