Ontario — Historical Rental Market Statistics Summary  ,,,,,,,,,,,
1990 to 2025 Row / Apartment Bedroom Type - Total October,,,,,,,,,,,
,Vacancy Rate (%),,Availability Rate (%),,Average Rent ($),,Median Rent ($),,% Change,,Units
1990 October,1.4,a ,**,,576,a ,550,a ,**,,"646,833"
1991 October,2.2,a ,**,,609,a ,575,a ,5.6,a ,"655,307"
1992 October,2.6,a ,**,,630,a ,600,a ,4.2,a ,"652,205"
1993 October,2.8,a ,**,,647,a ,622,a ,3.3,a ,"651,275"
1994 October,2.4,a ,**,,659,a ,637,a ,2.2,a ,"652,917"
1995 October,2.4,a ,**,,672,a ,650,a ,2.4,a ,"651,170"
1996 October,3.1,a ,**,,681,a ,654,a ,1.7,a ,"647,960"
1997 October,2.9,a ,**,,685,a ,660,a ,1.5,a ,"650,832"
1998 October,2.6,a ,**,,718,a ,695,a ,4.4,a ,"649,449"
1999 October,2.1,a ,**,,742,a ,715,a ,3.6,a ,"647,974"
2000 October,1.7,a ,**,,790,a ,755,a ,6.7,a ,"647,094"
2001 October,1.7,a ,**,,820,a ,790,a ,4.7,a ,"647,905"
2002 October,2.7,a ,**,,842,a ,814,a ,2.8,a ,"646,838"
2003 October,3.5,a ,**,,842,a ,824,a ,1.3,a ,"650,524"
2004 October,4.1,a ,**,,852,a ,825,a ,0.7,a ,"657,297"
2005 October,3.8,a ,5.8,a ,858,a ,825,a ,0.8,a ,"655,893"
2006 October,3.4,a ,5.3,a ,871,a ,840,a ,1.4,a ,"659,042"
2007 October,3.4,a ,5.1,a ,878,a ,850,a ,1.7,a ,"658,132"
2008 October,2.7,a ,4.4,a ,901,a ,855,a ,1.9,a ,"658,046"
2009 October,3.6,a ,5.6,a ,906,a ,865,a ,2,a ,"660,737"
2010 October,2.9,a ,4.8,a ,930,a ,892,a ,1.8,a ,"659,347"
2011 October,2.2,a ,3.9,a ,952,a ,905,a ,1.8,a ,"662,434"
2012 October,2.5,a ,4.2,a ,981,a ,935,a ,2.8,a ,"663,400"
2013 October,2.6,a ,4.3,a ,"1,007",a ,954,a ,2.7,a ,"662,900"
2014 October,2.3,a ,3.8,a ,"1,031",a ,978,a ,2.1,a ,"664,519"
2015 October,2.5,a ,4.1,a ,"1,066",a ,"1,009",a ,3,a ,"667,928"
2016 October,2.2,a ,3.7,a ,"1,095",a ,"1,040",a ,3,a ,"672,837"
2017 October,1.6,a ,2.9,a ,"1,146",a ,"1,095",a ,3.8,a ,"682,053"
2018 October,1.8,a ,**,,"1,203",a ,"1,137",a ,4.8,a ,"689,320"
2019 October,2,a ,**,,"1,277",a ,"1,200",a ,6.1,a ,"693,515"
2020 October,3.2,a ,**,,"1,347",a ,"1,278",a ,4.9,a ,"703,962"
2021 October,3.4,a ,**,,"1,395",a ,"1,330",a ,2.8,a ,"709,341"
2022 October,1.8,a ,**,,"1,474",a ,"1,400",a ,6,a ,"724,435"
2023 October,1.7,a ,**,,"1,609",a ,"1,500",a ,8.1,a ,"717,887"
2024 October,2.7,a ,**,,"1,666",a ,"1,580",a ,4,a ,"743,904"
2025 October,3.2,a ,**,,"1,730",a ,"1,670",a ,3.8,a ,"754,038"
