Ontario — Historical Starts by Dwelling Type (In Census Metropolitan Areas),,,,,
January 1990 to July 2026 Intended Markets - All,,,,,
,Single,Semi-Detached,Row,Apartment,All
Jan-90,"1,946",102,746,"2,272","5,066"
Feb-90,"1,088",70,437,950,"2,545"
Mar-90,"1,277",69,589,"1,997","3,932"
Apr-90,"1,972",110,502,"1,522","4,106"
May-90,"2,180",137,836,"1,965","5,118"
Jun-90,"1,775",162,591,"1,144","3,672"
Jul-90,"1,576",169,396,"2,245","4,386"
Aug-90,923,94,445,912,"2,374"
Sep-90,"1,521",169,792,596,"3,078"
Oct-90,"1,225",104,599,401,"2,329"
Nov-90,"1,110",99,506,745,"2,460"
Dec-90,820,59,218,655,"1,752"
Jan-91,499,22,216,"1,217","1,954"
Feb-91,320,44,412,562,"1,338"
Mar-91,615,45,287,244,"1,191"
Apr-91,"1,098",66,546,759,"2,469"
May-91,"1,691",93,727,569,"3,080"
Jun-91,"2,373",72,"1,034","1,168","4,647"
Jul-91,"2,531",160,581,"1,682","4,954"
Aug-91,"2,173",146,673,"1,662","4,654"
Sep-91,"1,603",164,907,"1,751","4,425"
Oct-91,"1,605",107,"1,034",598,"3,344"
Nov-91,"1,434",98,952,975,"3,459"
Dec-91,"1,018",64,712,592,"2,386"
Jan-92,848,50,636,310,"1,844"
Feb-92,691,55,406,"1,517","2,669"
Mar-92,771,111,528,"1,301","2,711"
Apr-92,"1,716",262,781,"1,803","4,562"
May-92,"1,928",198,808,"1,508","4,442"
Jun-92,"1,964",166,671,609,"3,410"
Jul-92,"2,047",302,522,"2,123","4,994"
Aug-92,"1,722",114,469,810,"3,115"
Sep-92,"1,600",122,713,"1,061","3,496"
Oct-92,"1,600",120,640,408,"2,768"
Nov-92,"1,831",252,493,987,"3,563"
Dec-92,"1,389",182,284,681,"2,536"
Jan-93,992,152,321,91,"1,556"
Feb-93,894,84,404,200,"1,582"
Mar-93,766,92,344,993,"2,195"
Apr-93,"1,622",214,486,754,"3,076"
May-93,"1,915",113,545,803,"3,376"
Jun-93,"1,626",137,561,93,"2,417"
Jul-93,"1,692",108,597,817,"3,214"
Aug-93,"1,455",138,812,109,"2,514"
Sep-93,"1,420",180,544,675,"2,819"
Oct-93,"1,512",180,528,"1,009","3,229"
Nov-93,"1,363",246,671,"1,470","3,750"
Dec-93,"1,354",178,462,486,"2,480"
Jan-94,929,91,434,220,"1,674"
Feb-94,580,78,268,811,"1,737"
Mar-94,899,114,416,260,"1,689"
Apr-94,"2,042",320,640,519,"3,521"
May-94,"2,347",230,661,358,"3,596"
Jun-94,"2,197",358,549,350,"3,454"
Jul-94,"2,491",287,681,701,"4,160"
Aug-94,"2,131",266,688,281,"3,366"
Sep-94,"2,036",284,666,553,"3,539"
Oct-94,"2,172",312,712,717,"3,913"
Nov-94,"1,771",230,542,506,"3,049"
Dec-94,"1,252",149,222,91,"1,714"
Jan-95,871,64,341,405,"1,681"
Feb-95,751,40,366,530,"1,687"
Mar-95,691,62,316,826,"1,895"
Apr-95,"1,182",278,526,572,"2,558"
May-95,"1,241",192,313,229,"1,975"
Jun-95,"1,564",152,363,572,"2,651"
Jul-95,997,90,495,412,"1,994"
Aug-95,"1,194",159,415,589,"2,357"
Sep-95,"1,245",264,472,621,"2,602"
Oct-95,"1,294",128,400,284,"2,106"
Nov-95,"1,186",196,857,637,"2,876"
Dec-95,"1,135",116,587,764,"2,602"
Jan-96,898,90,243,349,"1,580"
Feb-96,604,52,316,374,"1,346"
Mar-96,857,92,221,271,"1,441"
Apr-96,"1,452",156,447,129,"2,184"
May-96,"2,007",498,612,420,"3,537"
Jun-96,"2,163",402,608,283,"3,456"
Jul-96,"2,199",300,927,14,"3,440"
Aug-96,"1,775",259,918,78,"3,030"
Sep-96,"1,824",196,899,826,"3,745"
Oct-96,"1,844",208,784,322,"3,158"
Nov-96,"1,851",292,892,379,"3,414"
Dec-96,"1,707",278,584,668,"3,237"
Jan-97,"1,078",192,379,563,"2,212"
Feb-97,"1,442",278,411,215,"2,346"
Mar-97,"1,393",242,374,246,"2,255"
Apr-97,"2,282",258,771,804,"4,115"
May-97,"2,859",398,996,28,"4,281"
Jun-97,"2,458",226,691,105,"3,480"
Jul-97,"2,553",262,948,356,"4,119"
Aug-97,"2,724",525,774,345,"4,368"
Sep-97,"2,608",522,783,397,"4,310"
Oct-97,"2,680",252,951,164,"4,047"
Nov-97,"2,219",194,"1,303",135,"3,851"
Dec-97,"1,790",392,637,707,"3,526"
Jan-98,"1,469",174,722,257,"2,622"
Feb-98,"1,348",166,793,152,"2,459"
Mar-98,"1,172",364,603,"1,148","3,287"
Apr-98,"2,367",298,675,848,"4,188"
May-98,"2,551",346,"1,055",369,"4,321"
Jun-98,"2,136",260,739,240,"3,375"
Jul-98,"1,740",162,371,598,"2,871"
Aug-98,"2,208",326,728,664,"3,926"
Sep-98,"2,132",482,935,533,"4,082"
Oct-98,"2,371",490,"1,018",430,"4,309"
Nov-98,"2,172",450,828,384,"3,834"
Dec-98,"2,155",526,669,509,"3,859"
Jan-99,"1,308",478,311,641,"2,738"
Feb-99,"1,435",292,719,557,"3,003"
Mar-99,"1,474",350,627,768,"3,219"
Apr-99,"2,720",614,564,"1,276","5,174"
May-99,"2,954",646,939,"1,435","5,974"
Jun-99,"3,014",630,743,815,"5,202"
Jul-99,"2,965",364,804,484,"4,617"
Aug-99,"2,732",422,745,"1,170","5,069"
Sep-99,"2,687",519,816,765,"4,787"
Oct-99,"2,466",444,845,"1,055","4,810"
Nov-99,"2,439",775,844,"1,242","5,300"
Dec-99,"2,690",474,"1,302",275,"4,741"
Jan-00,"1,843",494,622,167,"3,126"
Feb-00,"1,333",356,480,"2,136","4,305"
Mar-00,"2,110",406,570,"1,052","4,138"
Apr-00,"3,125",816,999,973,"5,913"
May-00,"3,023",478,795,381,"4,677"
Jun-00,"2,939",468,682,375,"4,464"
Jul-00,"3,205",796,"1,060","1,525","6,586"
Aug-00,"2,722",516,838,818,"4,894"
Sep-00,"2,646",726,868,"1,278","5,518"
Oct-00,"2,576",582,"1,051","1,878","6,087"
Nov-00,"2,977",490,"1,141",877,"5,485"
Dec-00,"2,629",602,913,574,"4,718"
Jan-01,"1,887",522,471,"1,307","4,187"
Feb-01,"1,591",490,443,930,"3,454"
Mar-01,"1,973",560,830,988,"4,351"
Apr-01,"2,814",632,851,"1,408","5,705"
May-01,"2,691",570,660,"1,727","5,648"
Jun-01,"2,995",624,989,"1,803","6,411"
Jul-01,"2,500",478,693,617,"4,288"
Aug-01,"2,990",750,"1,076","1,767","6,583"
Sep-01,"2,521",592,596,"1,386","5,095"
Oct-01,"3,086",354,905,"1,082","5,427"
Nov-01,"3,045",550,778,"1,467","5,840"
Dec-01,"2,522",464,826,"1,230","5,042"
Jan-02,"2,044",698,768,"2,144","5,654"
Feb-02,"1,958",440,526,783,"3,707"
Mar-02,"2,515",480,524,"1,293","4,812"
Apr-02,"3,546",530,"1,042","1,008","6,126"
May-02,"4,206",612,"1,069","1,043","6,930"
Jun-02,"4,166",542,"1,130",272,"6,110"
