Ontario — Household Income - Average and Median ($)  ,,,,
2021 Renters,,,,
,Average Household Income Before Taxes,Median Household Income Before Taxes,Average Household Income After Taxes,Median Household Income After Taxes
Barrie,"74,700","63,600","65,900","58,000"
Belleville - Quinte West,"59,300","49,600","53,750","46,400"
Bracebridge T,"59,900","48,800","53,300","45,600"
Brantford,"62,500","52,000","56,450","48,000"
Brighton MU,"58,000","46,800","52,300","43,200"
Brock TP,"71,600","56,000","63,600","53,200"
Brockville,"53,200","44,000","48,600","41,600"
Centre Wellington,"68,500","57,200","60,650","50,400"
Chatham-Kent,"53,850","44,800","49,200","42,400"
Cobourg,"62,150","51,200","56,000","48,000"
Collingwood,"63,200","51,600","56,000","47,600"
Cornwall,"52,100","43,600","48,000","41,200"
Elliot Lake,"45,560","38,800","42,360","38,000"
Erin T,"71,600","62,000","62,200","54,000"
Gravenhurst T,"56,700","48,000","51,200","44,400"
Greater Napanee T,"55,750","45,200","51,040","42,800"
Greater Sudbury / Grand Sudbury,"60,100","50,400","53,600","46,400"
Guelph,"70,700","61,200","62,450","56,000"
Haldimand County CY,"63,450","48,400","56,850","44,800"
Hamilton,"65,900","55,200","58,500","50,800"
Hawkesbury,"49,520","38,000","44,200","36,400"
Huntsville T,"57,100","46,800","51,700","43,600"
Ingersoll,"62,750","52,800","55,800","48,000"
Kawartha Lakes,"57,150","45,200","51,850","42,400"
Kenora,"59,400","50,400","53,600","48,000"
Kincardine MU,"69,800","52,000","60,400","47,600"
Kingston,"63,200","52,400","56,450","48,800"
Kitchener - Cambridge - Waterloo,"70,100","60,000","62,050","54,400"
Lambton Shores MU,"53,800","43,600","48,700","40,800"
London,"60,250","51,200","54,250","47,200"
Meaford MU,"51,800","46,000","46,900","42,000"
Midland,"52,050","43,200","47,120","40,800"
Norfolk,"60,450","49,600","54,350","45,600"
North Bay,"54,150","45,200","49,360","42,400"
North Perth MU,"64,600","52,400","57,900","47,600"
Orillia,"57,800","48,400","52,550","45,600"
Oshawa,"70,100","58,800","62,350","54,000"
Ottawa,"76,400","63,600","66,200","57,200"
Owen Sound,"51,600","42,000","47,080","38,800"
Pembroke,"52,050","42,800","47,600","40,800"
Petawawa,"90,500","84,000","78,400","74,500"
Peterborough,"57,000","48,000","51,950","45,200"
Port Hope,"57,700","45,200","51,550","42,800"
Prince Edward County CY,"63,050","52,000","56,950","48,400"
Sarnia,"59,000","49,200","52,850","45,600"
Saugeen Shores T,"68,600","53,600","58,750","48,800"
Sault Ste. Marie,"51,000","42,000","46,640","39,600"
Scugog TP,"67,600","57,600","59,700","52,800"
South Dundas MU,"55,900","45,600","51,300","43,200"
South Huron MU,"59,500","50,800","53,800","45,200"
St. Catharines - Niagara,"58,100","48,000","52,750","45,200"
Stratford,"59,050","50,400","52,800","45,200"
The Nation / La Nation M,"68,200","57,600","60,800","52,800"
Thunder Bay,"56,550","46,800","51,400","43,600"
Tillsonburg,"54,150","46,400","49,240","42,800"
Timmins,"58,400","44,800","52,050","42,400"
Toronto,"80,200","65,500","68,800","59,200"
Trent Hills MU,"55,800","44,800","51,100","42,800"
Wasaga Beach,"67,400","58,000","60,800","54,000"
West Grey MU,"52,000","42,000","47,400","38,800"
West Nipissing / Nipissing Ouest M,"48,360","38,800","45,000","37,200"
Windsor,"58,200","48,400","53,000","45,200"
Woodstock,"63,850","55,200","56,900","50,000"
Ontario,"71,700","58,400","62,700","53,600"
