Ontario — Household Size  ,,,,,,
2021 Owners,,,,,,
,One-Person Household,Two-Person Household,Three-Person Household,Four-Person Household,Five-Or-More-Person Household,Total
Barrie,"10,290","18,930","10,550","11,200","6,660","57,635"
Belleville - Quinte West,"6,700","13,485","5,035","4,275","2,590","32,085"
Bracebridge T,"1,290","2,460",825,775,405,"5,760"
Brantford,"7,845","14,650","6,660","6,635","4,285","40,075"
Brighton MU,880,"2,180",520,455,260,"4,300"
Brock TP,775,"1,530",610,605,380,"3,910"
Brockville,"2,470","4,270","1,280","1,015",475,"9,515"
Centre Wellington,"1,630","3,860","1,470","1,635","1,055","9,650"
Chatham-Kent,"7,480","13,410","4,485","4,010","2,400","31,785"
Cobourg,"1,650","2,800",805,685,325,"6,275"
Collingwood,"2,360","3,330","1,015",975,450,"8,130"
Cornwall,"3,960","7,005","2,345","1,870","1,055","16,235"
Elliot Lake,"1,090","1,725",360,235,135,"3,545"
Erin T,450,"1,435",665,765,485,"3,800"
Gravenhurst T,"1,065","2,020",570,425,245,"4,320"
Greater Napanee T,"1,030","2,165",755,615,380,"4,940"
Greater Sudbury / Grand Sudbury,"9,690","19,250","8,065","7,520","3,135","47,665"
Guelph,"8,620","14,980","7,440","8,420","4,680","44,130"
Haldimand County CY,"2,930","6,185","2,515","2,475","1,805","15,910"
Hamilton,"42,305","71,600","36,320","39,260","21,300","210,785"
Hawkesbury,910,"1,380",405,240,145,"3,085"
Huntsville T,"1,500","3,110","1,020",965,500,"7,100"
Ingersoll,795,"1,655",660,670,395,"4,170"
Kawartha Lakes,"5,825","12,090","3,945","3,255","1,980","27,090"
Kenora,"1,190","1,870",735,665,320,"4,785"
Kincardine MU,970,"1,700",555,580,320,"4,125"
Kingston,"9,810","18,860","7,250","7,125","3,120","46,160"
Kitchener - Cambridge - Waterloo,"24,795","48,000","24,800","28,005","15,995","141,585"
Lambton Shores MU,"1,010","2,210",445,375,255,"4,300"
London,"28,855","51,770","22,685","22,995","12,770","139,065"
Meaford MU,895,"1,990",510,460,215,"4,070"
Midland,"1,875","3,510","1,280","1,010",490,"8,165"
Norfolk,"5,045","9,755","3,045","2,800","1,865","22,510"
North Bay,"4,550","8,955","3,200","2,875","1,310","20,885"
North Perth MU,760,"1,680",560,675,570,"4,250"
Orillia,"2,220","3,595","1,355","1,025",625,"8,825"
Oshawa,"17,265","34,735","21,600","23,575","14,505","111,680"
Ottawa,"59,830","107,160","50,305","53,415","27,395","298,100"
Owen Sound,"2,280","4,390","1,340","1,235",670,"9,915"
Pembroke,"1,615","2,895","1,135",930,470,"7,050"
Petawawa,780,"1,620",790,775,365,"4,340"
Peterborough,"8,020","15,115","5,745","5,290","2,950","37,120"
Port Hope,"1,130","2,530",955,755,365,"5,735"
Prince Edward County CY,"2,150","4,655","1,130",880,435,"9,250"
Sarnia,"7,515","12,855","4,425","4,030","2,015","30,840"
Saugeen Shores T,"1,295","2,450",740,735,335,"5,550"
Sault Ste. Marie,"5,895","9,690","3,800","3,240","1,195","23,830"
Scugog TP,"1,150","2,985","1,175","1,215",645,"7,175"
South Dundas MU,860,"1,675",500,430,305,"3,760"
South Huron MU,730,"1,445",385,365,230,"3,160"
St. Catharines - Niagara,"29,415","50,200","20,350","17,990","10,070","128,010"
Stratford,"2,325","4,040","1,465","1,285",600,"9,705"
The Nation / La Nation M,670,"1,700",725,730,385,"4,210"
Thunder Bay,"9,945","15,135","5,760","5,100","2,205","38,140"
Tillsonburg,"1,350","2,595",760,740,385,"5,830"
Timmins,"2,660","4,845","1,945","1,820",705,"11,970"
Toronto,"270,480","415,440","273,995","301,615","211,375","1,472,905"
Trent Hills MU,"1,110","2,265",650,545,315,"4,885"
Wasaga Beach,"2,295","4,385","1,170",885,495,"9,235"
West Grey MU,880,"2,035",660,540,425,"4,540"
West Nipissing / Nipissing Ouest M,830,"2,080",640,560,260,"4,375"
Windsor,"26,365","42,820","19,200","19,290","12,380","120,045"
Woodstock,"2,365","4,610","2,095","2,075","1,160","12,305"
Ontario,"745,805","1,292,265","638,070","663,155","416,425","3,755,720"
