Ontario — Household Size  ,,,,,,
2021 Renters,,,,,,
,One-Person Household,Two-Person Household,Three-Person Household,Four-Person Household,Five-Or-More-Person Household,Total
Barrie,"7,045","6,465","3,325","2,315","1,760","20,905"
Belleville - Quinte West,"6,110","4,330","1,745","1,095",845,"14,130"
Bracebridge T,725,440,145,120,45,"1,480"
Brantford,"6,535","4,560","2,320","1,420","1,090","15,925"
Brighton MU,345,200,80,55,35,715
Brock TP,335,240,125,95,90,875
Brockville,"2,410","1,440",545,310,225,"4,925"
Centre Wellington,"1,085",690,285,165,105,"2,325"
Chatham-Kent,"5,910","3,410","1,405",835,795,"12,345"
Cobourg,"1,300",900,335,185,145,"2,855"
Collingwood,"1,445",855,405,220,120,"3,045"
Cornwall,"4,835","3,060","1,190",845,635,"10,565"
Elliot Lake,"1,235",740,145,100,65,"2,295"
Erin T,190,110,75,35,15,420
Gravenhurst T,560,355,135,75,50,"1,180"
Greater Napanee T,830,660,195,150,95,"1,930"
Greater Sudbury / Grand Sudbury,"12,810","7,515","2,745","1,555","1,030","25,655"
Guelph,"7,815","6,360","2,815","1,835","1,220","20,040"
Haldimand County CY,"1,305",745,370,210,180,"2,805"
Hamilton,"40,985","28,680","12,555","7,990","6,385","96,595"
Hawkesbury,"1,595",795,300,140,65,"2,900"
Huntsville T,835,475,240,95,75,"1,720"
Ingersoll,580,330,225,100,60,"1,295"
Kawartha Lakes,"2,565","1,625",635,500,295,"5,615"
Kenora,940,465,170,95,50,"1,725"
Kincardine MU,545,295,75,75,50,"1,035"
Kingston,"12,375","8,810","3,215","1,685","1,265","27,345"
Kitchener - Cambridge - Waterloo,"29,535","24,170","10,895","7,155","5,720","77,470"
Lambton Shores MU,505,265,110,85,45,"1,005"
London,"36,415","24,640","10,205","6,515","5,395","83,175"
Meaford MU,510,225,110,80,40,965
Midland,"1,755","1,105",440,255,105,"3,660"
Norfolk,"2,330","1,405",605,475,265,"5,085"
North Bay,"5,025","3,050","1,160",665,400,"10,300"
North Perth MU,735,525,235,120,100,"1,705"
Orillia,"2,565","1,615",710,425,280,"5,595"
Oshawa,"14,065","10,690","5,475","4,125","3,010","37,370"
Ottawa,"66,625","46,650","18,630","12,805","10,765","155,475"
Owen Sound,"2,380","1,150",495,285,165,"4,470"
Pembroke,"1,610",950,355,135,160,"3,210"
Petawawa,775,740,365,365,180,"2,420"
Peterborough,"7,175","4,815","2,000","1,240",965,"16,185"
Port Hope,840,460,145,85,55,"1,580"
Prince Edward County CY,920,595,235,195,135,"2,080"
Sarnia,"5,640","3,270","1,285",865,555,"11,615"
Saugeen Shores T,710,375,120,100,55,"1,355"
Sault Ste. Marie,"5,520","2,890","1,090",525,400,"10,430"
Scugog TP,455,280,180,95,65,"1,070"
South Dundas MU,350,330,95,70,45,895
South Huron MU,595,315,105,90,70,"1,175"
St. Catharines - Niagara,"22,055","15,295","6,415","4,160","3,280","51,210"
Stratford,"2,600","1,425",500,320,195,"5,035"
The Nation / La Nation M,370,270,110,105,50,895
Thunder Bay,"8,030","4,305","1,770","1,050",840,"16,005"
Tillsonburg,"1,235",705,255,140,75,"2,400"
Timmins,"3,040","1,570",685,380,235,"5,920"
Toronto,"294,970","228,675","116,885","85,135","63,875","789,550"
Trent Hills MU,420,335,115,80,60,"1,020"
Wasaga Beach,560,440,260,195,125,"1,580"
West Grey MU,375,180,95,55,45,745
West Nipissing / Nipissing Ouest M,"1,080",560,200,120,70,"2,035"
Windsor,"20,120","12,300","5,445","3,825","3,940","45,630"
Woodstock,"2,930","1,975",800,495,375,"6,580"
Ontario,"703,700","503,640","232,765","161,070","123,795","1,724,970"
