Ontario — Household Type (All Household Types)  ,,,,,,,
2021 Owners,,,,,,,
,Couple-With-Children,Couple-Without-Children,Total Lone- Parent Households,Multiple- Family,Total One- Person Households,Other Non-Family,Total
Barrie,"21,795","16,165","5,730","2,105","10,290","1,550","57,635"
Belleville - Quinte West,"9,155","11,815","2,720",775,"6,700",915,"32,085"
Bracebridge T,"1,605","2,190",435,120,"1,290",120,"5,760"
Brantford,"13,940","12,560","3,655","1,265","7,845",815,"40,075"
Brighton MU,970,"2,025",255,100,880,70,"4,300"
Brock TP,"1,210","1,370",315,145,775,95,"3,910"
Brockville,"2,100","3,720",760,190,"2,470",265,"9,515"
Centre Wellington,"3,460","3,530",635,230,"1,630",155,"9,650"
Chatham-Kent,"8,935","11,745","2,495",465,"7,480",665,"31,785"
Cobourg,"1,375","2,485",550,95,"1,650",115,"6,275"
Collingwood,"1,940","2,945",595,115,"2,360",175,"8,130"
Cornwall,"4,100","6,125","1,350",260,"3,960",445,"16,235"
Elliot Lake,545,"1,465",265,30,"1,090",155,"3,545"
Erin T,"1,490","1,290",315,195,450,60,"3,800"
Gravenhurst T,865,"1,755",365,120,"1,065",145,"4,320"
Greater Napanee T,"1,415","1,930",360,85,"1,030",115,"4,940"
Greater Sudbury / Grand Sudbury,"15,130","16,565","4,220",865,"9,690","1,200","47,665"
Guelph,"16,680","12,980","3,435","1,335","8,620","1,085","44,130"
Haldimand County CY,"5,465","5,515","1,255",460,"2,930",290,"15,910"
Hamilton,"78,615","60,140","19,085","6,160","42,305","4,480","210,785"
Hawkesbury,560,"1,160",320,35,910,95,"3,085"
Huntsville T,"1,895","2,775",500,190,"1,500",230,"7,100"
Ingersoll,"1,415","1,445",360,80,795,80,"4,170"
Kawartha Lakes,"6,980","10,900","2,000",720,"5,825",670,"27,090"
Kenora,"1,335","1,610",450,80,"1,190",125,"4,785"
Kincardine MU,"1,245","1,565",230,60,970,55,"4,125"
Kingston,"14,050","16,445","3,815",790,"9,810","1,260","46,160"
Kitchener - Cambridge - Waterloo,"56,335","41,505","11,455","4,295","24,795","3,205","141,585"
Lambton Shores MU,845,"2,070",240,60,"1,010",80,"4,300"
London,"47,950","43,860","12,050","2,725","28,855","3,625","139,065"
Meaford MU,960,"1,865",210,70,895,75,"4,070"
Midland,"2,000","3,065",725,255,"1,875",245,"8,165"
Norfolk,"6,175","8,670","1,620",515,"5,045",485,"22,510"
North Bay,"5,815","7,795","1,760",385,"4,550",580,"20,885"
North Perth MU,"1,590","1,555",220,60,760,65,"4,250"
Orillia,"2,160","2,995",850,230,"2,220",375,"8,825"
Oshawa,"46,720","28,725","11,710","4,660","17,265","2,590","111,680"
Ottawa,"108,990","92,130","23,755","5,945","59,830","7,445","298,100"
Owen Sound,"2,595","3,900",770,150,"2,280",225,"9,915"
Pembroke,"1,940","2,510",715,125,"1,615",150,"7,050"
Petawawa,"1,680","1,390",310,55,780,125,"4,340"
Peterborough,"10,845","13,295","3,065",840,"8,020","1,060","37,120"
Port Hope,"1,615","2,240",490,140,"1,130",125,"5,735"
Prince Edward County CY,"1,920","4,325",510,135,"2,150",210,"9,250"
Sarnia,"8,630","11,155","2,520",320,"7,515",700,"30,840"
Saugeen Shores T,"1,575","2,235",310,40,"1,295",95,"5,550"
Sault Ste. Marie,"6,565","8,215","2,225",290,"5,895",635,"23,830"
Scugog TP,"2,395","2,675",510,255,"1,150",185,"7,175"
South Dundas MU,970,"1,525",240,85,860,85,"3,760"
South Huron MU,820,"1,340",200,40,730,30,"3,160"
St. Catharines - Niagara,"37,930","43,150","11,410","2,885","29,415","3,215","128,010"
Stratford,"2,755","3,470",840,115,"2,325",205,"9,705"
The Nation / La Nation M,"1,555","1,580",240,75,670,90,"4,210"
Thunder Bay,"10,470","12,715","3,480",495,"9,945","1,040","38,140"
Tillsonburg,"1,540","2,320",405,90,"1,350",120,"5,830"
Timmins,"3,615","4,140","1,070",175,"2,660",315,"11,970"
Toronto,"606,185","338,400","138,725","82,485","270,480","36,630","1,472,905"
Trent Hills MU,"1,140","2,015",350,145,"1,110",125,"4,885"
Wasaga Beach,"1,885","3,975",675,215,"2,295",190,"9,235"
West Grey MU,"1,360","1,830",250,105,880,110,"4,540"
West Nipissing / Nipissing Ouest M,"1,180","1,895",320,55,830,100,"4,375"
Windsor,"40,830","36,010","11,565","2,740","26,365","2,545","120,045"
Woodstock,"4,265","3,985","1,060",335,"2,365",300,"12,305"
Ontario,"1,355,910","1,099,390","327,535","136,280","745,805","90,810","3,755,720"
