Ontario — Household Type (All Household Types)  ,,,,,,,
2021 Renters,,,,,,,
,Couple-With-Children,Couple-Without-Children,Total Lone- Parent Households,Multiple- Family,Total One- Person Households,Other Non-Family,Total
Barrie,"3,640","3,915","4,025",340,"7,045","1,945","20,905"
Belleville - Quinte West,"1,990","2,490","2,325",150,"6,110","1,060","14,130"
Bracebridge T,180,255,210,0,725,90,"1,480"
Brantford,"2,470","2,510","3,175",160,"6,535","1,085","15,925"
Brighton MU,90,120,110,0,345,45,715
Brock TP,220,145,135,15,335,30,875
Brockville,550,800,810,40,"2,410",315,"4,925"
Centre Wellington,335,440,340,20,"1,085",105,"2,325"
Chatham-Kent,"1,645","1,875","2,195",80,"5,910",640,"12,345"
Cobourg,385,550,470,30,"1,300",125,"2,855"
Collingwood,365,560,465,20,"1,445",195,"3,045"
Cornwall,"1,505","1,720","1,840",90,"4,835",575,"10,565"
Elliot Lake,155,520,295,0,"1,235",85,"2,295"
Erin T,75,65,50,0,190,40,420
Gravenhurst T,140,180,195,10,560,100,"1,180"
Greater Napanee T,275,405,305,0,830,110,"1,930"
Greater Sudbury / Grand Sudbury,"2,600","4,265","3,930",125,"12,810","1,925","25,655"
Guelph,"2,960","3,805","2,765",210,"7,815","2,490","20,040"
Haldimand County CY,420,445,425,35,"1,305",180,"2,805"
Hamilton,"14,655","16,750","16,005","1,100","40,985","7,105","96,595"
Hawkesbury,265,485,425,0,"1,595",120,"2,900"
Huntsville T,230,265,270,10,835,110,"1,720"
Ingersoll,215,165,255,10,580,80,"1,295"
Kawartha Lakes,785,980,855,95,"2,565",345,"5,615"
Kenora,140,295,225,20,940,100,"1,725"
Kincardine MU,110,165,155,10,545,45,"1,035"
Kingston,"3,175","5,155","3,365",215,"12,375","3,055","27,345"
Kitchener - Cambridge - Waterloo,"12,685","14,575","11,175",845,"29,535","8,655","77,470"
Lambton Shores MU,155,175,125,0,505,45,"1,005"
London,"11,935","14,050","12,190",585,"36,415","7,995","83,175"
Meaford MU,140,150,120,10,510,30,965
Midland,420,545,670,10,"1,755",255,"3,660"
Norfolk,845,840,780,40,"2,330",255,"5,085"
North Bay,"1,075","1,680","1,600",40,"5,025",880,"10,300"
North Perth MU,310,360,205,0,735,95,"1,705"
Orillia,690,895,"1,005",105,"2,565",340,"5,595"
Oshawa,"6,485","5,785","7,605",665,"14,065","2,765","37,370"
Ottawa,"23,160","27,440","21,100","1,160","66,625","15,985","155,475"
Owen Sound,510,670,675,25,"2,380",215,"4,470"
Pembroke,330,565,485,0,"1,610",215,"3,210"
Petawawa,660,485,235,15,775,250,"2,420"
Peterborough,"1,920","2,775","2,515",145,"7,175","1,665","16,185"
Port Hope,120,250,285,0,840,85,"1,580"
Prince Edward County CY,385,425,220,35,920,100,"2,080"
Sarnia,"1,340","2,030","1,770",55,"5,640",785,"11,615"
Saugeen Shores T,150,255,175,10,710,55,"1,355"
Sault Ste. Marie,885,"1,510","1,855",45,"5,520",610,"10,430"
Scugog TP,175,170,205,10,455,50,"1,070"
South Dundas MU,100,210,190,10,350,40,895
South Huron MU,170,210,145,0,595,55,"1,175"
St. Catharines - Niagara,"7,020","8,525","8,930",615,"22,055","4,075","51,210"
Stratford,490,915,735,30,"2,600",275,"5,035"
The Nation / La Nation M,160,180,145,0,370,45,895
Thunder Bay,"1,520","2,380","2,505",125,"8,030","1,440","16,005"
Tillsonburg,230,460,345,30,"1,235",115,"2,400"
Timmins,510,915,"1,025",20,"3,040",395,"5,920"
Toronto,"157,895","132,945","116,535","14,300","294,970","72,905","789,550"
Trent Hills MU,125,195,175,15,420,85,"1,020"
Wasaga Beach,330,280,290,25,560,85,"1,580"
West Grey MU,90,115,105,10,375,40,745
West Nipissing / Nipissing Ouest M,180,315,350,0,"1,080",105,"2,035"
Windsor,"6,910","6,650","7,905",525,"20,120","3,520","45,630"
Woodstock,985,"1,260","1,050",50,"2,930",295,"6,580"
Ontario,"292,110","293,395","262,145","23,080","703,700","150,535","1,724,970"
