Ontario — Immigrant Households  ,,,,,,,
2021 Owners,,,,,,,
,Non-Immigrant,Non-Permanent Resident,Immigrant,Landed Before 2006,Landed 2006 to 2015,Recent Immigrants (Landed 2016-2021),Total
Barrie,"44,200",175,"13,255","10,375","2,145",730,"57,635"
Belleville - Quinte West,"28,395",70,"3,620","3,135",370,120,"32,085"
Bracebridge T,"5,175",10,575,550,10,10,"5,760"
Brantford,"32,330",70,"7,670","6,335",995,340,"40,075"
Brighton MU,"3,540",0,760,715,30,10,"4,300"
Brock TP,"3,480",0,425,380,40,0,"3,910"
Brockville,"8,455",0,"1,055",945,85,30,"9,515"
Centre Wellington,"8,150",20,"1,480","1,315",115,50,"9,650"
Chatham-Kent,"28,045",25,"3,720","3,250",315,145,"31,785"
Cobourg,"5,140",0,"1,135","1,070",30,30,"6,275"
Collingwood,"6,760",0,"1,370","1,220",120,35,"8,130"
Cornwall,"14,725",15,"1,490","1,240",190,60,"16,235"
Elliot Lake,"3,065",0,480,460,15,0,"3,545"
Erin T,"2,930",0,865,810,45,10,"3,800"
Gravenhurst T,"3,835",0,475,470,10,0,"4,320"
Greater Napanee T,"4,560",0,380,350,20,15,"4,940"
Greater Sudbury / Grand Sudbury,"43,915",75,"3,675","3,100",405,170,"47,665"
Guelph,"31,685",105,"12,350","9,760","1,885",695,"44,130"
Haldimand County CY,"13,935",0,"1,970","1,710",200,65,"15,910"
Hamilton,"142,585",480,"67,720","56,310","8,250","3,160","210,785"
Hawkesbury,"2,910",0,175,145,30,0,"3,085"
Huntsville T,"6,370",0,725,640,65,20,"7,100"
Ingersoll,"3,685",0,485,410,40,30,"4,170"
Kawartha Lakes,"24,185",0,"2,895","2,725",150,25,"27,090"
Kenora,"4,530",0,250,200,35,10,"4,785"
Kincardine MU,"3,610",0,515,460,50,0,"4,125"
Kingston,"38,790",75,"7,300","6,130",875,290,"46,160"
Kitchener - Cambridge - Waterloo,"95,855",610,"45,115","34,540","7,395","3,190","141,585"
Lambton Shores MU,"3,810",0,485,460,20,0,"4,300"
London,"102,690",790,"35,590","27,795","5,500","2,290","139,065"
Meaford MU,"3,535",0,540,505,30,0,"4,070"
Midland,"7,210",0,955,850,85,20,"8,165"
Norfolk,"19,265",25,"3,220","2,930",245,45,"22,510"
North Bay,"19,570",20,"1,290","1,110",145,40,"20,885"
North Perth MU,"3,655",10,580,415,140,30,"4,250"
Orillia,"7,555",10,"1,265","1,110",120,35,"8,825"
Oshawa,"77,245",185,"34,250","26,320","5,465","2,460","111,680"
Ottawa,"216,425","1,225","80,455","63,000","12,495","4,955","298,100"
Owen Sound,"8,955",0,960,860,75,20,"9,915"
Pembroke,"6,625",0,420,370,35,15,"7,050"
Petawawa,"4,000",0,340,245,95,0,"4,340"
Peterborough,"32,805",60,"4,250","3,735",380,135,"37,120"
Port Hope,"4,890",0,845,805,30,10,"5,735"
Prince Edward County CY,"8,045",10,"1,200","1,135",40,25,"9,250"
Sarnia,"26,515",55,"4,270","3,845",305,125,"30,840"
Saugeen Shores T,"4,825",0,720,620,60,35,"5,550"
Sault Ste. Marie,"21,085",10,"2,730","2,530",160,40,"23,830"
Scugog TP,"6,145",0,"1,030",945,60,30,"7,175"
South Dundas MU,"3,455",0,300,270,15,15,"3,760"
South Huron MU,"2,855",0,310,295,10,10,"3,160"
St. Catharines - Niagara,"97,260",355,"30,395","26,050","3,090","1,255","128,010"
Stratford,"8,335",0,"1,370","1,240",100,25,"9,705"
The Nation / La Nation M,"3,970",0,240,200,25,10,"4,210"
Thunder Bay,"33,705",90,"4,350","3,865",365,120,"38,140"
Tillsonburg,"4,795",0,"1,030",925,85,20,"5,830"
Timmins,"11,460",15,505,390,65,45,"11,970"
Toronto,"575,955","10,175","886,775","703,610","138,455","44,715","1,472,905"
Trent Hills MU,"4,290",0,595,540,45,10,"4,885"
Wasaga Beach,"7,110",0,"2,120","2,035",70,15,"9,235"
West Grey MU,"4,030",0,510,465,40,10,"4,540"
West Nipissing / Nipissing Ouest M,"4,245",0,130,115,10,0,"4,375"
Windsor,"87,410",300,"32,335","26,510","4,295","1,530","120,045"
Woodstock,"9,700",25,"2,585","1,900",500,185,"12,305"
Ontario,"2,384,835","15,330","1,355,555","1,088,395","199,025","68,135","3,755,720"
