Ontario — Immigrant Households  ,,,,,,,
2021 Renters,,,,,,,
,Non-Immigrant,Non-Permanent Resident,Immigrant,Landed Before 2006,Landed 2006 to 2015,Recent Immigrants (Landed 2016-2021),Total
Barrie,"17,230",680,"3,000","2,035",485,470,"20,905"
Belleville - Quinte West,"12,900",215,"1,010",735,110,165,"14,130"
Bracebridge T,"1,345",25,110,95,0,10,"1,480"
Brantford,"13,515",320,"2,095","1,475",365,250,"15,925"
Brighton MU,630,0,80,70,10,0,715
Brock TP,780,0,90,85,0,0,875
Brockville,"4,410",30,485,360,70,55,"4,925"
Centre Wellington,"2,070",0,245,215,15,10,"2,325"
Chatham-Kent,"11,130",120,"1,095",790,165,135,"12,345"
Cobourg,"2,505",10,350,310,10,25,"2,855"
Collingwood,"2,615",30,395,350,15,35,"3,045"
Cornwall,"9,685",190,690,425,135,140,"10,565"
Elliot Lake,"1,995",0,300,290,10,0,"2,295"
Erin T,350,0,70,70,0,0,420
Gravenhurst T,"1,105",0,70,45,20,0,"1,180"
Greater Napanee T,"1,815",0,115,100,0,10,"1,930"
Greater Sudbury / Grand Sudbury,"22,855","1,065","1,735",990,370,370,"25,655"
Guelph,"14,855",690,"4,495","2,410",980,"1,105","20,040"
Haldimand County CY,"2,550",40,220,190,30,0,"2,805"
Hamilton,"65,370","4,385","26,840","16,975","5,375","4,495","96,595"
Hawkesbury,"2,755",15,130,60,30,30,"2,900"
Huntsville T,"1,555",30,130,100,30,0,"1,720"
Ingersoll,"1,205",10,80,75,10,0,"1,295"
Kawartha Lakes,"5,165",55,400,355,40,0,"5,615"
Kenora,"1,580",30,115,90,15,10,"1,725"
Kincardine MU,860,30,140,95,20,25,"1,035"
Kingston,"22,995","1,305","3,040","1,995",500,545,"27,345"
Kitchener - Cambridge - Waterloo,"49,550","6,845","21,075","11,315","4,400","5,360","77,470"
Lambton Shores MU,890,0,115,105,0,0,"1,005"
London,"59,035","5,770","18,365","10,540","3,950","3,870","83,175"
Meaford MU,865,0,95,75,10,10,965
Midland,"3,425",20,215,180,25,10,"3,660"
Norfolk,"4,525",65,495,390,65,45,"5,085"
North Bay,"9,730",165,410,305,60,50,"10,300"
North Perth MU,"1,450",45,210,140,30,45,"1,705"
Orillia,"5,150",40,405,320,50,35,"5,595"
Oshawa,"28,645",865,"7,860","5,765","1,150",940,"37,370"
Ottawa,"102,855","9,325","43,295","22,925","10,295","10,075","155,475"
Owen Sound,"4,190",25,260,180,15,60,"4,470"
Pembroke,"3,080",10,120,95,10,15,"3,210"
Petawawa,"2,260",30,130,80,20,25,"2,420"
Peterborough,"14,405",400,"1,385","1,005",190,190,"16,185"
Port Hope,"1,420",10,150,140,0,0,"1,580"
Prince Edward County CY,"1,905",10,165,135,10,20,"2,080"
Sarnia,"10,090",315,"1,210",945,150,120,"11,615"
Saugeen Shores T,"1,120",25,210,120,45,40,"1,355"
Sault Ste. Marie,"9,440",270,715,560,70,90,"10,430"
Scugog TP,965,0,105,95,0,15,"1,070"
South Dundas MU,835,0,55,40,15,0,895
South Huron MU,"1,020",20,135,125,0,0,"1,175"
St. Catharines - Niagara,"39,895","2,060","9,255","6,425","1,525","1,305","51,210"
Stratford,"4,410",90,540,395,75,70,"5,035"
The Nation / La Nation M,850,15,30,20,0,0,895
Thunder Bay,"13,975",785,"1,250",850,180,220,"16,005"
Tillsonburg,"2,165",0,235,195,35,0,"2,400"
Timmins,"5,490",210,220,135,45,40,"5,920"
Toronto,"304,085","69,315","416,145","242,105","93,890","80,150","789,550"
Trent Hills MU,930,0,90,85,0,0,"1,020"
Wasaga Beach,"1,325",25,230,200,15,15,"1,580"
West Grey MU,670,0,75,65,10,0,745
West Nipissing / Nipissing Ouest M,"2,005",0,30,15,0,15,"2,035"
Windsor,"30,975","2,460","12,190","6,700","2,795","2,695","45,630"
Woodstock,"5,730",60,795,580,105,110,"6,580"
Ontario,"1,024,540","109,235","591,195","348,430","128,700","114,060","1,724,970"
