Ontario — Monthly Shelter Costs - Ranges  ,,,,,,
2021 Owners,,,,,,
,Less Than $500 Per Month,$500 to $999 Per Month,"$1,000 to $1,499 Per Month","$1,500 to $1,999 Per Month","$2,000 And Over Per Month","Total Non-Farm, Non-Band Households"
Barrie,"2,900","14,255","7,125","10,695","22,430","57,410"
Belleville - Quinte West,"4,515","10,135","6,665","5,925","4,475","31,715"
Bracebridge T,700,"1,805","1,015","1,085","1,135","5,735"
Brantford,"4,480","10,855","6,725","7,425","10,130","39,615"
Brighton MU,745,"1,605",760,475,655,"4,240"
Brock TP,380,980,665,705,"1,065","3,795"
Brockville,"1,920","2,895","2,370","1,235",970,"9,390"
Centre Wellington,795,"2,955","1,090","1,445","3,100","9,390"
Chatham-Kent,"6,445","11,150","6,745","3,675","2,640","30,665"
Cobourg,545,"2,540","1,040",980,"1,165","6,270"
Collingwood,430,"2,730","1,570","1,345","2,050","8,125"
Cornwall,"2,990","5,745","4,050","2,135","1,205","16,130"
Elliot Lake,"1,370","1,415",560,115,90,"3,545"
Erin T,85,940,560,365,"1,700","3,650"
Gravenhurst T,795,"1,340",840,605,745,"4,320"
Greater Napanee T,755,"1,430","1,060",870,710,"4,830"
Greater Sudbury / Grand Sudbury,"4,815","15,055","9,345","9,395","8,970","47,580"
Guelph,"1,905","13,000","5,790","7,265","15,980","43,945"
Haldimand County CY,"2,320","4,075","2,270","2,910","3,800","15,370"
Hamilton,"12,525","63,700","28,720","32,225","73,105","210,270"
Hawkesbury,655,"1,125",845,320,140,"3,085"
Huntsville T,"1,040","2,110","1,390","1,340","1,200","7,070"
Ingersoll,400,"1,125",790,950,905,"4,170"
Kawartha Lakes,"3,525","8,805","4,845","4,530","4,600","26,305"
Kenora,510,"1,500","1,170",830,780,"4,780"
Kincardine MU,355,"1,475",605,660,845,"3,940"
Kingston,"3,935","14,580","7,815","9,140","10,360","45,825"
Kitchener - Cambridge - Waterloo,"11,835","38,355","18,455","26,330","46,105","141,085"
Lambton Shores MU,820,"1,645",730,450,520,"4,165"
London,"14,700","41,260","26,835","24,600","30,455","137,850"
Meaford MU,390,"1,555",660,670,590,"3,865"
Midland,"1,165","2,595","1,715","1,560","1,125","8,165"
Norfolk,"3,845","7,505","3,990","3,260","3,255","21,860"
North Bay,"2,555","6,365","4,820","3,920","3,150","20,810"
North Perth MU,655,"1,140",575,745,755,"3,870"
Orillia,835,"2,880","1,715","1,715","1,685","8,825"
Oshawa,"3,975","29,245","12,860","17,150","48,190","111,425"
Ottawa,"12,830","92,195","38,615","54,500","98,915","297,050"
Owen Sound,"1,320","3,570","2,020","1,695","1,155","9,750"
Pembroke,935,"2,510","1,655","1,160",715,"6,970"
Petawawa,625,870,825,"1,315",695,"4,335"
Peterborough,"4,345","12,415","6,175","6,225","7,405","36,565"
Port Hope,390,"1,995",995,990,"1,275","5,650"
Prince Edward County CY,"1,460","3,445","1,640","1,030","1,395","8,975"
Sarnia,"5,695","10,240","6,160","4,295","3,825","30,220"
Saugeen Shores T,515,"2,075",625,830,"1,465","5,510"
Sault Ste. Marie,"3,810","9,280","5,485","2,980","2,215","23,765"
Scugog TP,380,"2,390",920,"1,000","2,260","6,955"
South Dundas MU,850,"1,110",830,510,330,"3,625"
South Huron MU,545,"1,050",570,485,365,"3,020"
St. Catharines - Niagara,"12,740","44,150","24,405","21,645","24,345","127,280"
Stratford,"1,175","3,150","1,765","1,860","1,740","9,695"
The Nation / La Nation M,335,"1,080",730,880,995,"4,020"
Thunder Bay,"5,345","14,535","7,720","5,805","4,630","38,040"
Tillsonburg,"1,130","1,940",965,990,785,"5,805"
Timmins,"1,005","3,950","3,145","2,240","1,620","11,950"
Toronto,"41,250","374,375","181,085","176,240","698,920","1,471,880"
Trent Hills MU,770,"1,805",910,660,515,"4,655"
Wasaga Beach,"1,790","3,150","1,470","1,345","1,480","9,235"
West Grey MU,900,"1,405",690,570,600,"4,170"
West Nipissing / Nipissing Ouest M,770,"1,395",970,625,525,"4,290"
Windsor,"15,915","40,025","25,255","18,925","19,005","119,125"
Woodstock,"1,510","3,230","2,315","2,370","2,865","12,290"
Ontario,"291,525","1,078,175","560,340","550,175","1,244,480","3,724,690"
