Ontario — Monthly Shelter Costs - Ranges  ,,,,,,
2021 Renters,,,,,,
,Less Than $500 Per Month,$500 to $999 Per Month,"$1,000 to $1,499 Per Month","$1,500 to $1,999 Per Month","$2,000 And Over Per Month","Total Non-Farm, Non-Band Households"
Barrie,"1,520","2,460","5,855","6,190","4,875","20,895"
Belleville - Quinte West,"1,435","4,910","4,875","2,010",885,"14,115"
Bracebridge T,110,435,480,300,150,"1,480"
Brantford,"1,355","4,815","5,375","2,970","1,380","15,895"
Brighton MU,95,205,225,115,75,715
Brock TP,75,330,210,125,125,870
Brockville,415,"2,275","1,650",435,140,"4,920"
Centre Wellington,120,540,805,590,265,"2,315"
Chatham-Kent,"1,655","6,675","3,040",645,280,"12,300"
Cobourg,260,715,910,565,400,"2,855"
Collingwood,255,605,785,705,690,"3,045"
Cornwall,885,"5,595","3,055",905,125,"10,565"
Elliot Lake,165,"1,590",505,35,0,"2,295"
Erin T,65,95,125,50,80,420
Gravenhurst T,170,355,420,150,85,"1,180"
Greater Napanee T,205,690,525,350,155,"1,930"
Greater Sudbury / Grand Sudbury,"2,900","9,915","9,110","2,685","1,045","25,655"
Guelph,"1,680","3,730","6,330","4,920","3,375","20,025"
Haldimand County CY,280,"1,085",810,320,280,"2,780"
Hamilton,"7,550","25,260","30,525","18,740","14,465","96,540"
Hawkesbury,280,"1,915",615,90,0,"2,900"
Huntsville T,210,500,550,360,100,"1,720"
Ingersoll,110,480,475,140,85,"1,295"
Kawartha Lakes,760,"1,595","2,000",805,435,"5,590"
Kenora,185,580,630,270,60,"1,725"
Kincardine MU,120,260,305,260,85,"1,025"
Kingston,"2,065","6,605","9,815","5,515","3,345","27,340"
Kitchener - Cambridge - Waterloo,"5,080","16,830","26,460","18,365","10,715","77,445"
Lambton Shores MU,180,415,305,75,20,"1,000"
London,"6,165","27,055","29,185","12,975","7,670","83,055"
Meaford MU,125,410,265,135,30,960
Midland,440,"1,300","1,135",565,215,"3,660"
Norfolk,590,"2,240","1,365",525,320,"5,035"
North Bay,910,"4,370","3,865",845,305,"10,300"
North Perth MU,130,590,615,250,90,"1,675"
Orillia,390,"1,390","2,195","1,020",595,"5,595"
Oshawa,"2,805","6,175","12,725","8,030","7,610","37,340"
Ottawa,"12,555","24,315","54,535","37,985","26,025","155,410"
Owen Sound,535,"1,945","1,385",440,150,"4,460"
Pembroke,385,"1,395","1,045",315,70,"3,210"
Petawawa,70,"1,300",680,300,70,"2,420"
Peterborough,"1,450","4,595","5,930","2,580","1,610","16,165"
Port Hope,150,405,585,260,180,"1,580"
Prince Edward County CY,270,575,675,310,240,"2,065"
Sarnia,"1,175","4,705","3,470","1,605",635,"11,590"
Saugeen Shores T,120,390,335,375,135,"1,355"
Sault Ste. Marie,"1,440","5,190","2,840",790,170,"10,430"
Scugog TP,120,250,320,190,185,"1,060"
South Dundas MU,60,505,225,70,15,880
South Huron MU,120,550,365,95,20,"1,150"
St. Catharines - Niagara,"4,825","16,925","16,770","7,710","4,935","51,165"
Stratford,485,"1,650","1,820",880,205,"5,035"
The Nation / La Nation M,70,260,330,165,50,880
Thunder Bay,"2,420","6,030","5,200","1,720",630,"16,000"
Tillsonburg,230,970,650,325,240,"2,400"
Timmins,720,"2,555","2,080",480,80,"5,920"
Toronto,"61,540","94,355","214,865","197,010","221,660","789,430"
Trent Hills MU,130,365,380,105,40,"1,015"
Wasaga Beach,130,370,340,375,365,"1,580"
West Grey MU,115,345,200,50,20,735
West Nipissing / Nipissing Ouest M,155,"1,060",630,150,30,"2,035"
Windsor,"5,220","18,205","13,220","5,735","3,225","45,605"
Woodstock,485,"1,805","2,230","1,390",665,"6,580"
Ontario,"148,115","368,235","520,050","361,405","325,475","1,723,280"
