Ontario — Mortgages  ,,,
2021,,,
,With a Mortgage,Without a Mortgage,Total Private Households With Mortgage Status Known
Barrie,"39,125","18,285","57,410"
Belleville - Quinte West,"18,300","13,410","31,715"
Bracebridge T,"3,175","2,560","5,735"
Brantford,"24,900","14,720","39,615"
Brighton MU,"1,995","2,245","4,240"
Brock TP,"2,330","1,465","3,795"
Brockville,"4,900","4,485","9,390"
Centre Wellington,"5,445","3,945","9,390"
Chatham-Kent,"16,460","14,205","30,665"
Cobourg,"2,965","3,300","6,270"
Collingwood,"4,160","3,970","8,125"
Cornwall,"8,940","7,190","16,130"
Elliot Lake,"1,640","1,905","3,545"
Erin T,"2,310","1,340","3,650"
Gravenhurst T,"2,180","2,140","4,320"
Greater Napanee T,"2,755","2,070","4,830"
Greater Sudbury / Grand Sudbury,"28,025","19,560","47,580"
Guelph,"27,210","16,730","43,945"
Haldimand County CY,"9,445","5,925","15,370"
Hamilton,"126,655","83,620","210,270"
Hawkesbury,"1,645","1,445","3,085"
Huntsville T,"3,915","3,160","7,070"
Ingersoll,"2,750","1,420","4,170"
Kawartha Lakes,"14,230","12,070","26,305"
Kenora,"2,875","1,910","4,780"
Kincardine MU,"1,975","1,965","3,940"
Kingston,"26,585","19,245","45,825"
Kitchener - Cambridge - Waterloo,"88,870","52,210","141,085"
Lambton Shores MU,"1,865","2,305","4,165"
London,"83,215","54,635","137,850"
Meaford MU,"1,855","2,010","3,865"
Midland,"4,435","3,730","8,165"
Norfolk,"11,420","10,440","21,860"
North Bay,"12,435","8,380","20,810"
North Perth MU,"2,225","1,640","3,870"
Orillia,"4,930","3,895","8,825"
Oshawa,"75,410","36,015","111,425"
Ottawa,"179,600","117,455","297,050"
Owen Sound,"5,120","4,630","9,750"
Pembroke,"3,860","3,110","6,970"
Petawawa,"2,970","1,360","4,335"
Peterborough,"19,865","16,700","36,565"
Port Hope,"3,180","2,475","5,650"
Prince Edward County CY,"4,100","4,870","8,975"
Sarnia,"15,885","14,335","30,220"
Saugeen Shores T,"2,940","2,565","5,510"
Sault Ste. Marie,"12,800","10,965","23,765"
Scugog TP,"3,890","3,065","6,955"
South Dundas MU,"1,910","1,715","3,625"
South Huron MU,"1,445","1,570","3,020"
St. Catharines - Niagara,"71,880","55,400","127,280"
Stratford,"5,370","4,330","9,695"
The Nation / La Nation M,"2,695","1,325","4,020"
Thunder Bay,"20,040","18,000","38,040"
Tillsonburg,"2,985","2,825","5,805"
Timmins,"7,385","4,570","11,950"
Toronto,"908,175","563,705","1,471,880"
Trent Hills MU,"2,335","2,320","4,655"
Wasaga Beach,"4,720","4,515","9,235"
West Grey MU,"2,090","2,085","4,170"
West Nipissing / Nipissing Ouest M,"2,420","1,865","4,290"
Windsor,"68,150","50,975","119,125"
Woodstock,"8,045","4,245","12,290"
Ontario,"2,220,205","1,504,485","3,724,690"
