Name,new name,Affordability_Ratio
Barrie,BARRIE,0.332606104
Belleville - Quinte West,BELLEVILLE,0.302796087
Bracebridge T,BRACEBRIDGE,0.33765501
Brantford,BRANTFORD,0.328562439
Brighton MU,BRIGHTON,0.322146366
Brock TP,BROCK,0.302573423
Brockville,BROCKVILLE,0.302772014
Centre Wellington,CENTRE WELLINGTON,0.339486887
Chatham-Kent,CHATHAM-KENT,0.272182526
Cobourg,COBOURG,0.322067152
Collingwood,COLLINGWOOD,0.364425123
Cornwall,CORNWALL,0.29195901
Elliot Lake,ELLIOT LAKE,0.245211452
Erin T,ERIN,0.332779771
Gravenhurst T,GRAVENHURST,0.311760383
Greater Napanee T,GREATER NAPANEE,0.332385623
Greater Sudbury / Grand Sudbury,GREATER SUDBURY,0.306717464
Guelph,GUELPH,0.321741179
Haldimand County CY,HALDIMAND COUNTY,0.335618311
Hamilton,HAMILTON,0.339629265
Hawkesbury,HAWKESBURY,0.297153546
Huntsville T,HUNTSVILLE,0.333338526
Ingersoll,INGERSOLL,0.314422545
Kawartha Lakes,KAWARTHA LAKES,0.338928875
Kenora,KENORA,0.297023566
Kincardine MU,KINCARDINE,0.323601525
Kingston,KINGSTON,0.331377807
Kitchener - Cambridge - Waterloo,KITCHENER,0.319773673
Lambton Shores MU,LAMBTON SHORES,0.291834749
London,LONDON,0.326118344
Meaford MU,MEAFORD,0.321079408
Midland,MIDLAND,0.340660882
Norfolk,NORFOLK COUNTY,0.290270019
North Bay,NORTH BAY,0.323296749
North Perth MU,NORTH PERTH,0.303988048
Orillia,ORILLIA,0.343131228
Oshawa,OSHAWA,0.350582843
Ottawa,OTTAWA,0.312816008
Owen Sound,OWEN SOUND,0.33553336
Pembroke,PEMBROKE,0.314298741
Petawawa,PETAWAWA,0.193830835
Peterborough,PETERBOROUGH,0.334797771
Port Hope,PORT HOPE,0.367933336
Prince Edward County CY,PRINCE EDWARD,0.291293636
Sarnia,SARNIA,0.290074192
Saugeen Shores T,SAUGEEN SHORES,0.32660044
Sault Ste. Marie,SAULT STE. MARIE,0.302315353
Scugog TP,SCUGOG,0.321962054
South Dundas MU,SOUTH DUNDAS,0.277380486
South Huron MU,SOUTH HURON,0.278039631
St. Catharines - Niagara,ST. CATHARINES,0.330112522
Stratford,STRATFORD,0.320617266
The Nation / La Nation M,THE NATION,0.299043104
Thunder Bay,THUNDER BAY,0.297247955
Tillsonburg,TILLSONBURG,0.321901451
Timmins,TIMMINS,0.316105855
Toronto,TORONTO,0.338134916
Trent Hills MU,TRENT HILLS,0.301471446
Wasaga Beach,WASAGA BEACH,0.290760067
West Grey MU,WEST GREY,0.314037745
West Nipissing / Nipissing Ouest M,WEST NIPISSING,0.337873402
Windsor,WINDSOR,0.307231539
Woodstock,WOODSTOCK,0.318441637
cambrige,CAMBRIDGE,0.319773673
waterloo,WATERLOO,0.319773673
