Ontario — Structure Type  ,,,,,,,,
2021 Owners,,,,,,,,
,Single-Detached,Semi-Detached,Row,Duplex,Low-Rise Apt.,High-Rise Apt.,Other,Total
Barrie,"46,705","1,650","4,215","1,760","1,775","1,485",45,"57,635"
Belleville - Quinte West,"28,675",555,"1,335",335,615,160,415,"32,085"
Bracebridge T,"5,035",125,285,95,100,100,25,"5,760"
Brantford,"33,365","2,105","2,435",630,810,635,90,"40,075"
Brighton MU,"4,050",85,80,30,0,0,45,"4,300"
Brock TP,"3,710",60,105,15,20,0,0,"3,910"
Brockville,"7,885",545,495,40,280,220,50,"9,515"
Centre Wellington,"8,085",385,570,50,420,45,90,"9,650"
Chatham-Kent,"29,765",790,410,185,410,60,160,"31,785"
Cobourg,"4,780",255,610,75,530,20,0,"6,275"
Collingwood,"5,590",550,955,95,785,155,15,"8,130"
Cornwall,"13,545","1,275",355,380,430,125,120,"16,235"
Elliot Lake,"2,365",715,375,0,80,10,0,"3,545"
Erin T,"3,640",25,0,25,0,0,105,"3,800"
Gravenhurst T,"3,920",35,55,45,60,35,165,"4,320"
Greater Napanee T,"4,570",130,125,0,95,0,15,"4,940"
Greater Sudbury / Grand Sudbury,"41,555","2,300",410,"1,760",845,195,595,"47,665"
Guelph,"31,300","2,015","5,610","1,700","1,990","1,440",80,"44,130"
Haldimand County CY,"14,650",425,445,95,230,0,70,"15,910"
Hamilton,"154,350","8,265","29,860","3,395","5,600","8,980",340,"210,785"
Hawkesbury,"1,980",350,135,250,335,0,35,"3,085"
Huntsville T,"6,495",55,60,140,275,30,45,"7,100"
Ingersoll,"3,605",290,145,25,75,20,10,"4,170"
Kawartha Lakes,"25,275",325,270,425,475,60,265,"27,090"
Kenora,"4,350",65,30,110,125,20,85,"4,785"
Kincardine MU,"3,765",90,170,10,40,0,45,"4,125"
Kingston,"37,920","3,120","2,230",795,655,"1,105",335,"46,160"
Kitchener - Cambridge - Waterloo,"106,140","9,945","14,015","2,685","3,325","5,175",290,"141,585"
Lambton Shores MU,"4,020",25,85,20,50,0,90,"4,300"
London,"111,470","5,925","12,825","1,965","2,415","3,785",685,"139,065"
Meaford MU,"3,810",10,160,15,70,0,0,"4,070"
Midland,"6,950",225,425,275,205,70,15,"8,165"
Norfolk,"20,705",470,685,175,220,85,175,"22,510"
North Bay,"16,995","1,600",450,645,645,350,200,"20,885"
North Perth MU,"3,670",170,205,35,60,0,110,"4,250"
Orillia,"6,975",130,610,360,375,200,170,"8,825"
Oshawa,"88,230","6,760","10,405","2,365","2,275","1,545",100,"111,680"
Ottawa,"189,675","18,685","58,650","3,140","10,145","16,550","1,255","298,100"
Owen Sound,"8,525",335,385,80,285,130,180,"9,915"
Pembroke,"6,555",185,90,80,125,0,15,"7,050"
Petawawa,"4,035",95,160,10,15,0,20,"4,340"
Peterborough,"33,075",405,"1,520","1,045",745,120,210,"37,120"
Port Hope,"4,990",225,270,35,150,60,0,"5,735"
Prince Edward County CY,"8,780",100,100,10,145,0,115,"9,250"
Sarnia,"28,250",820,620,340,395,340,70,"30,840"
Saugeen Shores T,"4,790",255,295,0,135,0,65,"5,550"
Sault Ste. Marie,"21,095","1,165",230,645,315,295,85,"23,830"
Scugog TP,"6,910",110,15,65,25,35,10,"7,175"
South Dundas MU,"3,470",175,40,0,0,15,60,"3,760"
South Huron MU,"2,860",20,205,0,25,0,50,"3,160"
St. Catharines - Niagara,"105,650","6,840","7,760","2,500","2,870","1,870",525,"128,010"
Stratford,"7,205","1,170",585,175,355,195,15,"9,705"
The Nation / La Nation M,"3,885",160,45,30,65,0,25,"4,210"
Thunder Bay,"33,825",995,260,"1,135","1,070",445,420,"38,140"
Tillsonburg,"5,170",165,350,60,55,15,15,"5,830"
Timmins,"10,345",745,45,325,240,0,255,"11,970"
Toronto,"808,025","143,915","158,550","51,625","65,725","242,335","2,730","1,472,905"
Trent Hills MU,"4,745",15,45,20,40,0,20,"4,885"
Wasaga Beach,"7,995",205,740,65,190,0,40,"9,235"
West Grey MU,"4,330",25,20,20,30,0,115,"4,540"
West Nipissing / Nipissing Ouest M,"4,125",45,0,70,55,0,75,"4,375"
Windsor,"103,655","5,080","5,115","1,470","1,560","2,480",690,"120,045"
Woodstock,"9,920",930,"1,120",145,160,10,20,"12,305"
Ontario,"2,673,455","240,160","332,570","85,980","114,850","291,270","17,435","3,755,720"
