Ontario — Structure Type  ,,,,,,,,
2021 Renters,,,,,,,,
,Single-Detached,Semi-Detached,Row,Duplex,Low-Rise Apt.,High-Rise Apt.,Other,Total
Barrie,"6,700",865,"2,910","2,285","5,125","2,945",75,"20,905"
Belleville - Quinte West,"3,115","1,005",985,695,"5,735","2,480",110,"14,130"
Bracebridge T,435,60,155,145,605,10,60,"1,480"
Brantford,"3,470",820,"2,350","1,100","4,215","3,915",60,"15,925"
Brighton MU,360,10,30,55,210,35,15,715
Brock TP,440,20,15,10,390,0,0,875
Brockville,775,440,380,85,"2,720",460,65,"4,925"
Centre Wellington,605,220,135,130,"1,155",60,25,"2,325"
Chatham-Kent,"3,790",645,"1,140",525,"4,670","1,475",110,"12,345"
Cobourg,475,150,515,90,"1,255",340,35,"2,855"
Collingwood,715,240,405,140,"1,225",320,10,"3,045"
Cornwall,"1,855","1,020",895,"1,410","4,235","1,025",125,"10,565"
Elliot Lake,265,385,210,70,800,565,0,"2,295"
Erin T,220,0,0,50,120,0,30,420
Gravenhurst T,395,40,105,30,530,40,50,"1,180"
Greater Napanee T,490,175,140,40,"1,080",0,0,"1,930"
Greater Sudbury / Grand Sudbury,"3,415","1,120","2,605","2,520","11,260","4,590",135,"25,655"
Guelph,"3,025",690,"3,390","1,880","5,965","5,075",25,"20,040"
Haldimand County CY,"1,145",160,235,220,985,55,10,"2,805"
Hamilton,"14,860","1,900","14,110","4,685","19,975","40,670",400,"96,595"
Hawkesbury,265,375,180,665,"1,390",0,20,"2,900"
Huntsville T,550,55,85,165,730,50,70,"1,720"
Ingersoll,290,125,225,65,550,45,0,"1,295"
Kawartha Lakes,"2,125",210,385,450,"1,750",665,35,"5,615"
Kenora,665,110,60,130,590,150,15,"1,725"
Kincardine MU,370,50,190,40,375,0,0,"1,035"
Kingston,"3,735","1,605","2,400","1,450","9,300","8,760",95,"27,345"
Kitchener - Cambridge - Waterloo,"9,910","3,145","11,630","3,350","25,710","23,470",255,"77,470"
Lambton Shores MU,430,20,95,20,400,0,35,"1,005"
London,"10,770","2,400","12,175","3,030","20,055","34,565",175,"83,175"
Meaford MU,285,25,170,50,435,0,0,965
Midland,855,220,130,490,"1,420",460,85,"3,660"
Norfolk,"2,105",330,285,365,"1,665",305,30,"5,085"
North Bay,"1,550",770,"1,555",970,"3,675","1,730",50,"10,300"
North Perth MU,515,95,105,75,895,0,25,"1,705"
Orillia,"1,055",185,645,580,"2,385",720,25,"5,595"
Oshawa,"8,990","1,165","5,350","2,895","8,925","9,865",165,"37,370"
Ottawa,"14,835","5,500","31,605","5,090","37,360","60,615",475,"155,475"
Owen Sound,710,155,335,170,"2,480",600,20,"4,470"
Pembroke,685,375,260,140,"1,720",0,30,"3,210"
Petawawa,725,405,640,30,620,0,0,"2,420"
Peterborough,"3,780",440,"1,725","1,665","6,030","2,475",65,"16,185"
Port Hope,295,50,155,45,640,385,0,"1,580"
Prince Edward County CY,955,140,250,20,645,10,55,"2,080"
Sarnia,"2,605",560,"1,505",435,"2,800","3,655",60,"11,615"
Saugeen Shores T,375,85,175,45,675,0,10,"1,355"
Sault Ste. Marie,"1,745",715,705,745,"4,645","1,760",110,"10,430"
Scugog TP,460,55,65,50,420,10,10,"1,070"
South Dundas MU,260,155,175,30,245,15,15,895
South Huron MU,530,85,140,15,395,0,10,"1,175"
St. Catharines - Niagara,"12,545","3,160","4,730","3,770","18,110","8,580",320,"51,210"
Stratford,595,410,310,490,"2,595",620,10,"5,035"
The Nation / La Nation M,350,80,45,80,345,0,0,895
Thunder Bay,"3,275","1,170","1,175","1,265","6,855","2,140",125,"16,005"
Tillsonburg,405,140,155,130,"1,080",480,10,"2,400"
Timmins,"1,300",515,560,725,"2,210",510,95,"5,920"
Toronto,"74,965","22,445","52,355","36,470","149,625","452,395","1,295","789,550"
Trent Hills MU,465,50,90,75,330,10,15,"1,020"
Wasaga Beach,940,55,155,80,330,0,15,"1,580"
West Grey MU,310,45,90,25,260,0,15,745
West Nipissing / Nipissing Ouest M,625,175,90,280,850,0,20,"2,035"
Windsor,"11,710","2,500","4,220","3,080","12,300","11,630",175,"45,630"
Woodstock,935,500,"1,075",275,"2,120","1,670",15,"6,580"
Ontario,"260,830","66,035","174,050","90,115","433,680","693,360","6,900","1,724,970"
