"Ontario — Average, Median and Price Percentiles for Unabsorbed Homeowner and Condominium Units (in Census Metropolitan Areas and Census Agglomerations with at least 50,000 people)",,,,,,,
July 2021 Single,,,,,,,
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units
Barrie,"504,000","560,000","847,000","984,000","615,000","813,955",22
Belleville,**,**,**,**,**,**,4
Brantford,"618,000","679,000","761,000","838,000","680,000","739,286",31
Chatham-Kent,**,**,**,**,**,**,0
Cornwall,**,**,**,**,**,**,4
Greater Sudbury / Grand Sudbury,**,**,**,**,**,**,4
Guelph,"620,000","761,000","988,000","1,232,000","832,500","1,002,464",10
Hamilton,"490,000","738,000","790,000","840,000","750,000","748,595",31
Kawartha Lakes,**,**,**,**,**,**,0
Kingston,**,**,**,**,**,"554,341",9
Kitchener - Cambridge - Waterloo,"615,000","690,000","765,000","850,000","710,000","740,796",69
London,"521,000","650,000","700,000","840,000","682,500","706,002",270
Norfolk,**,**,**,**,**,"487,400",7
North Bay,**,**,**,**,**,**,0
Oshawa,"381,000","441,000","496,000","739,000","470,000","530,553",10
Ottawa,"520,000","585,000","651,000","739,000","610,000","642,298",111
Peterborough,**,**,**,**,**,"438,360",5
Sarnia,**,**,**,**,**,"641,061",9
Sault Ste. Marie,**,**,**,**,**,**,2
St. Catharines - Niagara,"630,000","730,000","790,000","890,000","755,000","778,609",19
Thunder Bay,**,**,**,**,**,"605,100",7
Toronto,"1,400,000","1,800,000","2,150,000","2,475,000","2,000,000","1,974,564",367
Windsor,"428,000","608,000","860,000","1,128,000","670,000","797,516",12
Ontario,"585,000","715,000","950,000","1,990,000","800,000","1,165,356","1,003"
