"Ontario — Average, Median and Price Percentiles for Unabsorbed Homeowner and Condominium Units (in Census Metropolitan Areas and Census Agglomerations with at least 50,000 people)",,,,,,,
July 2021 Semi-detached,,,,,,,
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units
Barrie,**,**,**,**,**,**,0
Belleville,**,**,**,**,**,**,2
Brantford,**,**,**,**,**,**,0
Chatham-Kent,**,**,**,**,**,**,0
Cornwall,**,**,**,**,**,**,2
Greater Sudbury / Grand Sudbury,**,**,**,**,**,"441,820",10
Guelph,**,**,**,**,**,"608,400",10
Hamilton,**,**,**,**,**,**,0
Kawartha Lakes,**,**,**,**,**,**,0
Kingston,**,**,**,**,**,"364,900",4
Kitchener - Cambridge - Waterloo,**,**,**,**,**,**,5
London,**,**,**,**,**,"325,000",8
Norfolk,**,**,**,**,**,**,2
North Bay,**,**,**,**,**,**,0
Oshawa,**,**,**,**,**,**,2
Ottawa,"388,000","509,000","800,000","1,362,000","525,000","776,080",16
Peterborough,**,**,**,**,**,**,0
Sarnia,**,**,**,**,**,**,2
Sault Ste. Marie,**,**,**,**,**,**,0
St. Catharines - Niagara,**,**,**,**,**,**,2
Thunder Bay,**,**,**,**,**,**,0
Toronto,"895,000","999,000","1,671,000","2,380,000","1,227,500","1,676,363",22
Windsor,**,**,**,**,**,**,2
Ontario,"330,000","470,000","610,000","1,005,000","525,000","813,462",89
