Ontario — Median Value of Owner_occupied Dwellings ($)  ,,,,,,,,
2021,,,,,,,,
,Single_Detached,Semi_Detached,Row,Duplex,Low_Rise Apt.,High_Rise Apt.,Other,Total
Barrie,"750,000","576,000","548,000","700,000","448,000","500,000","500,000","700,000"
Belleville - Quinte West,"448,000","400,000","400,000","400,000","348,000","400,000","200,000","424,000"
Bracebridge T,"600,000","360,000","452,000","500,000","400,000","396,000",**,"600,000"
Brantford,"650,000","480,000","500,000","500,000","360,000","348,000","240,000","600,000"
Brighton MU,"528,000","472,000","352,000","600,000",**,**,"166,000","500,000"
Brock TP,"600,000","440,000","500,000",**,**,**,**,"600,000"
Brockville,"348,000","250,000","302,000",**,"180,000","448,000","100,000","324,000"
Centre Wellington,"755,000","600,000","600,000","750,000","500,000","400,000","145,000","715,000"
Chatham-Kent,"348,000","300,000","302,000","300,000","200,000","250,000","120,000","348,000"
Cobourg,"600,000","452,000","480,000","750,000","424,000",**,**,"600,000"
Collingwood,"775,000","624,000","600,000","750,000","500,000","424,000",**,"700,000"
Cornwall,"300,000","250,000","200,000","250,000","278,000","250,000","120,000","300,000"
Elliot Lake,"190,000","140,000","120,000",**,"75,000",**,**,"150,000"
Erin T,"1,000,000",**,**,**,**,**,"300,000","980,000"
Gravenhurst T,"576,000","448,000","300,000","600,000","400,000","452,000","140,000","524,000"
Greater Napanee T,"400,000","400,000","260,000",**,"348,000",**,**,"400,000"
Greater Sudbury / Grand Sudbury,"348,000","280,000","244,000","300,000","300,000","300,000","100,000","348,000"
Guelph,"800,000","600,000","600,000","750,000","452,000","424,000","448,000","750,000"
Haldimand County CY,"600,000","500,000","404,000","448,000","400,000",**,"376,000","600,000"
Hamilton,"800,000","650,000","650,000","700,000","500,000","452,000","600,000","755,000"
Hawkesbury,"230,000","250,000","200,000","200,000","200,000",**,**,"224,000"
Huntsville T,"600,000","452,000","452,000","500,000","448,000",**,"250,000","576,000"
Ingersoll,"500,000","380,000","348,000",**,"376,000",**,**,"500,000"
Kawartha Lakes,"600,000","448,000","424,000","488,000","400,000","472,000","300,000","572,000"
Kenora,"300,000","200,000",**,"300,000","380,000",**,"80,000","300,000"
Kincardine MU,"500,000","420,000","348,000",**,"600,000",**,"580,000","500,000"
Kingston,"500,000","372,000","392,000","448,000","300,000","376,000","150,000","492,000"
Kitchener - Cambridge - Waterloo,"750,000","552,000","548,000","675,000","420,000","400,000","276,000","700,000"
Lambton Shores MU,"500,000",**,"452,000",**,"376,000",**,"150,000","500,000"
London,"600,000","400,000","428,000","500,000","348,000","300,000","200,000","548,000"
Meaford MU,"600,000",**,"440,000",**,"448,000",**,**,"600,000"
Midland,"500,000","400,000","448,000","500,000","380,000","500,000",**,"500,000"
Norfolk,"500,000","448,000","400,000","452,000","448,000","324,000","184,000","500,000"
North Bay,"348,000","250,000","220,000","270,000","250,000","250,000","125,000","302,000"
North Perth MU,"524,000","448,000","428,000","552,000","300,000",**,"200,000","500,000"
Orillia,"556,000","492,000","452,000","532,000","400,000","600,000","150,000","552,000"
Oshawa,"800,000","600,000","640,000","700,000","500,000","460,000","250,000","755,000"
Ottawa,"700,000","552,000","500,000","650,000","400,000","376,000","190,000","600,000"
Owen Sound,"500,000","300,000","360,000","448,000","376,000","400,000","150,000","452,000"
Pembroke,"300,000","276,000","274,000","246,000","250,000",**,**,"290,000"
Petawawa,"348,000","400,000","300,000",**,**,**,**,"348,000"
Peterborough,"580,000","400,000","500,000","500,000","384,000","500,000","250,000","552,000"
Port Hope,"600,000","500,000","552,000","695,000","695,000","448,000",**,"600,000"
Prince Edward County CY,"600,000","452,000","500,000",**,"400,000",**,"166,000","600,000"
Sarnia,"400,000","274,000","286,000","300,000","300,000","300,000","260,000","400,000"
Saugeen Shores T,"600,000","428,000","420,000",**,"424,000",**,"125,000","572,000"
Sault Ste. Marie,"250,000","170,000","320,000","200,000","200,000","250,000","75,000","250,000"
Scugog TP,"800,000","500,000",**,"750,000",**,"600,000",**,"800,000"
South Dundas MU,"300,000","250,000","150,000",**,**,**,"70,000","300,000"
South Huron MU,"400,000",**,"376,000",**,**,**,"200,000","400,000"
St. Catharines - Niagara,"600,000","448,000","500,000","500,000","400,000","368,000","348,000","552,000"
Stratford,"548,000","420,000","428,000","524,000","500,000","400,000",**,"500,000"
The Nation / La Nation M,"400,000","424,000","424,000",**,"276,000",**,**,"400,000"
Thunder Bay,"300,000","200,000","200,000","286,000","260,000","300,000","95,000","300,000"
Tillsonburg,"500,000","400,000","360,000","448,000","400,000",**,**,"500,000"
Timmins,"240,000","160,000","180,000","200,000","200,000",**,"100,000","226,000"
Toronto,"1,200,000","900,000","800,000","1,000,000","800,000","600,000","950,000","980,000"
Trent Hills MU,"480,000",**,"220,000",**,"200,000",**,**,"460,000"
Wasaga Beach,"650,000","500,000","448,000","750,000","368,000",**,"352,000","600,000"
West Grey MU,"500,000",**,**,**,**,**,"250,000","500,000"
West Nipissing / Nipissing Ouest M,"290,000","280,000",**,"200,000","300,000",**,"100,000","280,000"
Windsor,"448,000","400,000","400,000","348,000","300,000","300,000","150,000","420,000"
Woodstock,"552,000","400,000","448,000","452,000","352,000",**,**,"536,000"
Ontario,"750,000","790,000","650,000","850,000","600,000","556,000","200,000","700,000"
